study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
mouse ,0,0,0,1.1244444444444444,3.3869892499642447,,,,,,,,,,,,0,0,0,8,,,,,0.07815312489401549,,0.03028695797547698,0.07815312489401549,0.07815312489401549,3.4257172079524025,1.1244444444444444,3.3869892499642447,,,,,,,,,,,,,,,p3,001,2025-10-14_14h45.04.319,Word priming experiment,,2025.1.1,119.97768476287571,2025-10-14 14h45.15.261641 +0530,
T-shirt ,1,1,0,1.0044444444444445,5.4614086659858,,,,,,,,,,,,0,1,1,7,,,,,3.43988045793958,,3.43138933298178,3.43988045793958,3.43988045793958,8.902503124903888,1.0044444444444445,5.4614086659858,,,,,,,,,,,,,,,p3,001,2025-10-14_14h45.04.319,Word priming experiment,,2025.1.1,119.97768476287571,2025-10-14 14h45.15.261641 +0530,
chart ,2,2,0,1.0044444444444445,1.5714042499894276,,,,,,,,,,,,0,2,2,6,,,,,8.916268207947724,,8.90521912497934,8.916268207947724,8.916268207947724,10.485849749995396,1.0044444444444445,1.5714042499894276,,,,,,,,,,,,,,,p3,001,2025-10-14_14h45.04.319,Word priming experiment,,2025.1.1,119.97768476287571,2025-10-14 14h45.15.261641 +0530,
Poster ,3,3,0,1.0044444444444445,1.111991083016619,,,,,,,,,,,,0,3,3,14,,,,,10.499598124995828,,10.488703541923314,10.499598124995828,10.499598124995828,11.608452416956425,1.0044444444444445,1.111991083016619,,,,,,,,,,,,,,,p3,001,2025-10-14_14h45.04.319,Word priming experiment,,2025.1.1,119.97768476287571,2025-10-14 14h45.15.261641 +0530,
board ,4,4,0,1.0044444444444445,1.1651953340042382,,,,,,,,,,,,0,4,4,4,,,,,11.619256707956083,,11.611307416926138,11.619256707956083,11.619256707956083,12.785646874923259,1.0044444444444445,1.1651953340042382,,,,,,,,,,,,,,,p3,001,2025-10-14_14h45.04.319,Word priming experiment,,2025.1.1,119.97768476287571,2025-10-14 14h45.15.261641 +0530,
Cruise ,5,5,0,1.0044444444444445,0.7631352080497891,,,,,,,,,,,,0,5,5,11,,,,,12.799813416902907,,12.787589166895486,12.799813416902907,12.799813416902907,13.567031874903478,1.0044444444444445,0.7631352080497891,,,,,,,,,,,,,,,p3,001,2025-10-14_14h45.04.319,Word priming experiment,,2025.1.1,119.97768476287571,2025-10-14 14h45.15.261641 +0530,
Keys ,6,6,0,1.0044444444444445,0.788497541914694,,,,,,,,,,,,0,6,6,13,,,,,13.578250958002172,,13.57034949993249,13.578250958002172,13.578250958002172,14.383190457941964,1.0044444444444445,0.788497541914694,,,,,,,,,,,,,,,p3,001,2025-10-14_14h45.04.319,Word priming experiment,,2025.1.1,119.97768476287571,2025-10-14 14h45.15.261641 +0530,
Case ,7,7,0,1.0044444444444445,0.6659178329864517,,,,,,,,,,,,0,7,7,10,,,,,14.39992324996274,,14.385390457930043,14.39992324996274,14.39992324996274,15.059008999960497,1.0044444444444445,0.6659178329864517,,,,,,,,,,,,,,,p3,001,2025-10-14_14h45.04.319,Word priming experiment,,2025.1.1,119.97768476287571,2025-10-14 14h45.15.261641 +0530,
phone ,8,8,0,1.0044444444444445,0.7386971249943599,,,,,,,,,,,,0,8,8,2,,,,,15.069737291894853,,15.062248541973531,15.069737291894853,15.069737291894853,15.809168291976675,1.0044444444444445,0.7386971249943599,,,,,,,,,,,,,,,p3,001,2025-10-14_14h45.04.319,Word priming experiment,,2025.1.1,119.97768476287571,2025-10-14 14h45.15.261641 +0530,
Pastry ,9,9,0,1.0044444444444445,0.5819322499446571,,,,,,,,,,,,0,9,9,9,,,,,15.819841416901909,,15.811657749931328,15.819841416901909,15.819841416901909,16.416677749948576,1.0044444444444445,0.5819322499446571,,,,,,,,,,,,,,,p3,001,2025-10-14_14h45.04.319,Word priming experiment,,2025.1.1,119.97768476287571,2025-10-14 14h45.15.261641 +0530,
book,10,10,0,1.0044444444444445,1.7327077500522137,,,,,,,,,,,,0,10,10,0,,,,,16.4333925829269,,16.418637291993946,16.4333925829269,16.4333925829269,18.158929416909814,1.0044444444444445,1.7327077500522137,,,,,,,,,,,,,,,p3,001,2025-10-14_14h45.04.319,Word priming experiment,,2025.1.1,119.97768476287571,2025-10-14 14h45.15.261641 +0530,
marble ,11,11,0,1.031111111111111,4.182831667014398,,,,,,,,,,,,0,11,11,3,,,,,18.16918120800983,,18.160981999943033,18.16918120800983,18.16918120800983,22.36762037500739,1.031111111111111,4.182831667014398,,,,,,,,,,,,,,,p3,001,2025-10-14_14h45.04.319,Word priming experiment,,2025.1.1,119.97768476287571,2025-10-14 14h45.15.261641 +0530,
laptop,12,12,0,1.0177777777777777,4.8156841249438,,,,,,,,,,,,0,12,12,5,,,,,22.37817037489731,,22.369647791958414,22.37817037489731,22.37817037489731,27.193540999898687,1.0177777777777777,4.8156841249438,,,,,,,,,,,,,,,p3,001,2025-10-14_14h45.04.319,Word priming experiment,,2025.1.1,119.97768476287571,2025-10-14 14h45.15.261641 +0530,
cushion ,13,13,0,1.0177777777777777,2.205278749926947,,,,,,,,,,,,0,13,13,1,,,,,27.204038625000976,,27.195797166903503,27.204038625000976,27.204038625000976,29.40890395792667,1.0177777777777777,2.205278749926947,,,,,,,,,,,,,,,p3,001,2025-10-14_14h45.04.319,Word priming experiment,,2025.1.1,119.97768476287571,2025-10-14 14h45.15.261641 +0530,
Police ,14,14,0,1.0177777777777777,2.149533083080314,,,,,,,,,,,,0,14,14,12,,,,,29.41933791700285,,29.411144999903627,29.41933791700285,29.41933791700285,31.584446624969132,1.0177777777777777,2.149533083080314,,,,,,,,,,,,,,,p3,001,2025-10-14_14h45.04.319,Word priming experiment,,2025.1.1,119.97768476287571,2025-10-14 14h45.15.261641 +0530,
,0,0,0,,,bo_t_e ,Bottle,new,bottle,[np.float64(0.0044444444444444444)],[np.float64(-0.3011111111111111)],[1],[0],[0],[12.988690750091337],['text_3'],,,,,0,0,0,18,31.616530207917094,,,,,,,,31.60725154192187,31.616530207917094,31.616530207917094,31.616530207917094,0.022802833002060652,44.59615883289371,bottle,[np.float64(0.0044444444444444444)],[np.float64(-0.3011111111111111)],[1],[0],[0],[12.988690750091337],['text_3'],p3,001,2025-10-14_14h45.04.319,Word priming experiment,,2025.1.1,119.97768476287571,2025-10-14 14h45.15.261641 +0530,
,1,1,0,,,v_s_,Vase,new,vase,[np.float64(-0.021111111111111112)],[np.float64(-0.32)],[1],[0],[0],[11.34586158406455],['text_3'],,,,,0,1,1,17,44.6120732499985,,,,,,,,44.60036820790265,44.6120732499985,44.6120732499985,44.6120732499985,0.004018375067971647,55.946479541948065,vase,[np.float64(-0.021111111111111112)],[np.float64(-0.32)],[1],[0],[0],[11.34586158406455],['text_3'],p3,001,2025-10-14_14h45.04.319,Word priming experiment,,2025.1.1,119.97768476287571,2025-10-14 14h45.15.261641 +0530,
,2,2,0,,,c_m_ra ,Camera ,new,camera,"[np.float64(0.0077777777777777776), np.float64(-0.0022222222222222222)]","[np.float64(-0.23333333333333334), np.float64(-0.3111111111111111)]","[1, 1]","[0, 0]","[0, 0]","[6.110278666950762, 7.343757499940693]","[None, 'text_3']",,,,,0,2,2,19,55.96220062498469,,,,,,,,55.9504103329964,55.96220062498469,55.96220062498469,55.96220062498469,0.0037916250294074416,63.29444420791697,camera,"[np.float64(0.0077777777777777776), np.float64(-0.0022222222222222222)]","[np.float64(-0.23333333333333334), np.float64(-0.3111111111111111)]","[1, 1]","[0, 0]","[0, 0]","[6.110278666950762, 7.343757499940693]","[None, 'text_3']",p3,001,2025-10-14_14h45.04.319,Word priming experiment,,2025.1.1,119.97768476287571,2025-10-14 14h45.15.261641 +0530,
,3,3,0,,,P_st_r,Poster ,old,poster,[np.float64(-0.023333333333333334)],[np.float64(-0.3011111111111111)],[1],[0],[0],[16.51512991695199],['text_3'],,,,,0,3,3,9,63.30795816692989,,,,,,,,63.29726587492041,63.30795816692989,63.30795816692989,63.30795816692989,0.00266566697973758,79.81264304195065,poster,[np.float64(-0.023333333333333334)],[np.float64(-0.3011111111111111)],[1],[0],[0],[16.51512991695199],['text_3'],p3,001,2025-10-14_14h45.04.319,Word priming experiment,,2025.1.1,119.97768476287571,2025-10-14 14h45.15.261641 +0530,
,4,4,0,,,C_s_,Case ,old,case,[np.float64(-0.08666666666666667)],[np.float64(-0.32666666666666666)],[1],[0],[0],[4.099249041988514],['text_3'],,,,,0,4,4,5,79.82721879193559,,,,,,,,79.81571624998469,79.82721879193559,79.82721879193559,79.82721879193559,0.002928916015662253,83.9152489999542,case,[np.float64(-0.08666666666666667)],[np.float64(-0.32666666666666666)],[1],[0],[0],[4.099249041988514],['text_3'],p3,001,2025-10-14_14h45.04.319,Word priming experiment,,2025.1.1,119.97768476287571,2025-10-14 14h45.15.261641 +0530,
,5,5,0,,,c_s_io_,Cushion,old,cushion,"[np.float64(-0.024444444444444446), np.float64(-0.02)]","[np.float64(-0.35555555555555557), np.float64(-0.29777777777777775)]","[1, 1]","[0, 0]","[0, 0]","[17.317785207997076, 18.501849416992627]","[None, 'text_3']",,,,,0,5,5,14,83.93194474990014,,,,,,,,83.9191748329904,83.93194474990014,83.93194474990014,83.93194474990014,0.0037555000744760036,102.42128954199143,cushion,"[np.float64(-0.024444444444444446), np.float64(-0.02)]","[np.float64(-0.35555555555555557), np.float64(-0.29777777777777775)]","[1, 1]","[0, 0]","[0, 0]","[17.317785207997076, 18.501849416992627]","[None, 'text_3']",p3,001,2025-10-14_14h45.04.319,Word priming experiment,,2025.1.1,119.97768476287571,2025-10-14 14h45.15.261641 +0530,
,6,6,0,,,p_nc_l,Pencil ,new,pencil,"[np.float64(-0.024444444444444446), np.float64(-0.013333333333333334)]","[np.float64(-0.2477777777777778), np.float64(-0.2911111111111111)]","[1, 1]","[0, 0]","[0, 0]","[5.445378540898673, 6.411972832982428]","[None, 'text_3']",,,,,0,6,6,16,102.43632258300204,,,,,,,,102.42463120794855,102.43632258300204,102.43632258300204,102.43632258300204,0.0031897500157356262,108.83684837492183,pencil,"[np.float64(-0.024444444444444446), np.float64(-0.013333333333333334)]","[np.float64(-0.2477777777777778), np.float64(-0.2911111111111111)]","[1, 1]","[0, 0]","[0, 0]","[5.445378540898673, 6.411972832982428]","[None, 'text_3']",p3,001,2025-10-14_14h45.04.319,Word priming experiment,,2025.1.1,119.97768476287571,2025-10-14 14h45.15.261641 +0530,
,7,7,0,,,K_y_,Keys ,old,keys,[np.float64(-0.07777777777777778)],[np.float64(-0.27666666666666667)],[1],[0],[0],[4.98087695799768],['text_3'],,,,,0,7,7,8,108.84964420797769,,,,,,,,108.83937291696202,108.84964420797769,108.84964420797769,108.84964420797769,0.002396833966486156,113.8204883330036,keys,[np.float64(-0.07777777777777778)],[np.float64(-0.27666666666666667)],[1],[0],[0],[4.98087695799768],['text_3'],p3,001,2025-10-14_14h45.04.319,Word priming experiment,,2025.1.1,119.97768476287571,2025-10-14 14h45.15.261641 +0530,
,8,8,0,,,ta_l_,Table ,new,table,[np.float64(-0.023333333333333334)],[np.float64(-0.29444444444444445)],[1],[0],[0],[26.13753262499813],['text_3'],,,,,0,8,8,15,113.83484891697299,,,,,,,,113.82361724996008,113.83484891697299,113.83484891697299,113.83484891697299,0.003004999947734177,139.96141816698946,table,[np.float64(-0.023333333333333334)],[np.float64(-0.29444444444444445)],[1],[0],[0],[26.13753262499813],['text_3'],p3,001,2025-10-14_14h45.04.319,Word priming experiment,,2025.1.1,119.97768476287571,2025-10-14 14h45.15.261641 +0530,
,9,9,0,,,_oo_,Book,old,book,"[np.float64(-0.015555555555555555), np.float64(0.06555555555555556)]","[np.float64(-0.3288888888888889), np.float64(-0.30333333333333334)]","[1, 1]","[0, 0]","[0, 0]","[9.707570291939192, 13.931955249980092]","[None, 'text_3']",,,,,0,9,9,13,139.97250770800747,,,,,,,,139.96362187492196,139.97250770800747,139.97250770800747,139.97250770800747,0.0020589169580489397,153.8958134999266,book,"[np.float64(-0.015555555555555555), np.float64(0.06555555555555556)]","[np.float64(-0.3288888888888889), np.float64(-0.30333333333333334)]","[1, 1]","[0, 0]","[0, 0]","[9.707570291939192, 13.931955249980092]","[None, 'text_3']",p3,001,2025-10-14_14h45.04.319,Word priming experiment,,2025.1.1,119.97768476287571,2025-10-14 14h45.15.261641 +0530,
