pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.8587092499947175,None,0,0,0,0,,,,,0.05711016699206084,,0.046220207994338125,0.05711016699206084,1.008377041987842,1.008377041987842,1.008377041987842,1.008377041987842,1.050636832980672,1.9947023330023512,1.9947023330023512,3.172872625000309,x,1,0.8587092499947175,None,,,,,p3,001,2025-09-30_16h31.34.028,untitled,,2025.1.1,119.96107264275199,2025-09-30 16h31.48.791767 +0530,
150,v,1,1,0,v,1,0.9259315420058556,None,0,1,1,1,,,,,3.179102750000311,,3.1730793330061715,3.179102750000311,4.168015832983656,4.168015832983656,4.168015832983656,4.168015832983656,4.174804457987193,5.167442666977877,5.167442666977877,6.103366208000807,v,1,0.9259315420058556,None,,,,,p3,001,2025-09-30_16h31.34.028,untitled,,2025.1.1,119.96107264275199,2025-09-30 16h31.48.791767 +0530,
50,c,2,2,0,c,1,0.7124932499718852,None,0,2,2,2,,,,,6.117713457992068,,6.104284707980696,6.117713457992068,7.101654458005214,7.101654458005214,7.101654458005214,7.101654458005214,7.109443958004704,8.101531082997099,8.101531082997099,8.818967083003372,c,1,0.7124932499718852,None,,,,,p3,001,2025-09-30_16h31.34.028,untitled,,2025.1.1,119.96107264275199,2025-09-30 16h31.48.791767 +0530,
-150,z,3,3,0,z,1,0.7414778329839464,None,0,3,3,3,,,,,8.82829308300279,,8.819519249984296,8.82829308300279,9.818272791977506,9.818272791977506,9.818272791977506,9.818272791977506,9.825394791987492,10.817599707981572,10.817599707981572,11.569090667006094,z,1,0.7414778329839464,None,,,,,p3,001,2025-09-30_16h31.34.028,untitled,,2025.1.1,119.96107264275199,2025-09-30 16h31.48.791767 +0530,
-50,x,4,0,1,x,1,0.7224970000097528,None,1,0,4,0,,,,,11.578302457986865,,11.569633707986213,11.578302457986865,12.57599804198253,12.57599804198253,12.57599804198253,12.57599804198253,12.57599804198253,13.567576083005406,13.567576083005406,14.303762916999403,x,1,0.7224970000097528,None,,,,,p3,001,2025-09-30_16h31.34.028,untitled,,2025.1.1,119.96107264275199,2025-09-30 16h31.48.791767 +0530,
150,v,5,1,1,v,1,0.7583373750094324,None,1,1,5,1,,,,,14.314388250000775,,14.30442737499834,14.314388250000775,15.301150999992387,15.301150999992387,15.301150999992387,15.301150999992387,15.30907620798098,16.301780249981675,16.301780249981675,17.069902874995023,v,1,0.7583373750094324,None,,,,,p3,001,2025-09-30_16h31.34.028,untitled,,2025.1.1,119.96107264275199,2025-09-30 16h31.48.791767 +0530,
50,c,6,2,1,c,1,0.8847659580060281,None,1,2,6,2,,,,,17.07936916698236,,17.070470292004757,17.07936916698236,18.06789145799121,18.06789145799121,18.06789145799121,18.06789145799121,18.074859666987322,19.08527908299584,19.08527908299584,19.97668550000526,c,1,0.8847659580060281,None,,,,,p3,001,2025-09-30_16h31.34.028,untitled,,2025.1.1,119.96107264275199,2025-09-30 16h31.48.791767 +0530,
-150,z,7,3,1,z,1,1.2872979170060717,None,1,3,7,3,,,,,20.00203416700242,,19.977137374982703,20.00203416700242,20.975891207985114,20.975891207985114,20.975891207985114,20.975891207985114,20.99240554199787,21.97483774999273,21.97483774999273,23.268737707985565,z,1,1.2872979170060717,None,,,,,p3,001,2025-09-30_16h31.34.028,untitled,,2025.1.1,119.96107264275199,2025-09-30 16h31.48.791767 +0530,
-50,x,8,0,2,x,1,0.7522383329924196,None,2,0,8,0,,,,,23.27796062498237,,23.269177457987098,23.27796062498237,24.268786500004353,24.268786500004353,24.268786500004353,24.268786500004353,24.27605412498815,25.26881162499194,25.26881162499194,26.027905208000448,x,1,0.7522383329924196,None,,,,,p3,001,2025-09-30_16h31.34.028,untitled,,2025.1.1,119.96107264275199,2025-09-30 16h31.48.791767 +0530,
150,v,9,1,2,v,1,0.7669730829948094,None,2,1,9,1,,,,,26.037759917002404,,26.028456291998737,26.037759917002404,27.025551832979545,27.025551832979545,27.025551832979545,27.025551832979545,27.034925832995214,28.02558562500053,28.02558562500053,28.803877333004493,v,1,0.7669730829948094,None,,,,,p3,001,2025-09-30_16h31.34.028,untitled,,2025.1.1,119.96107264275199,2025-09-30 16h31.48.791767 +0530,
50,c,10,2,2,c,1,0.8096170419885311,None,2,2,10,2,,,,,28.81807174999267,,28.804599124996457,28.81807174999267,29.801463041978423,29.801463041978423,29.801463041978423,29.801463041978423,29.808897499984596,30.801449041988235,30.801449041988235,31.619546874979278,c,1,0.8096170419885311,None,,,,,p3,001,2025-09-30_16h31.34.028,untitled,,2025.1.1,119.96107264275199,2025-09-30 16h31.48.791767 +0530,
-150,z,11,3,2,z,1,0.9208541669941042,None,2,3,11,3,,,,,31.628731042001164,,31.620091416989453,31.628731042001164,32.61935991697828,32.61935991697828,32.61935991697828,32.61935991697828,32.635844624979654,33.619271457981085,33.619271457981085,34.54454691699357,z,1,0.9208541669941042,None,,,,,p3,001,2025-09-30_16h31.34.028,untitled,,2025.1.1,119.96107264275199,2025-09-30 16h31.48.791767 +0530,
-50,x,12,0,3,x,1,0.6702549580077175,None,3,0,12,0,,,,,34.55435824999586,,34.545098792004865,34.55435824999586,35.543257166980766,35.543257166980766,35.543257166980766,35.543257166980766,35.56880858298973,36.5439469999983,36.5439469999983,37.22160124999937,x,1,0.6702549580077175,None,,,,,p3,001,2025-09-30_16h31.34.028,untitled,,2025.1.1,119.96107264275199,2025-09-30 16h31.48.791767 +0530,
150,v,13,1,3,v,1,0.6046461669902783,None,3,1,13,1,,,,,37.23507933298242,,37.22252862498863,37.23507933298242,38.218986583000515,38.218986583000515,38.218986583000515,38.218986583000515,38.22569224998006,39.23554537500604,39.23554537500604,39.854263874993194,v,1,0.6046461669902783,None,,,,,p3,001,2025-09-30_16h31.34.028,untitled,,2025.1.1,119.96107264275199,2025-09-30 16h31.48.791767 +0530,
