thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_dist,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.3422222222222222)],[np.float64(0.3688888888888889)],[1],[0],[0],[1.953268916986417],['target'],0,0,0,0,0.04714183299802244,,10,0.030164083000272512,0.04714183299802244,0.04714183299802244,0.030179709021467716,1.9835159159847535,[np.float64(-0.3422222222222222)],[np.float64(0.3688888888888889)],[1],[0],[0],[1.953268916986417],['target'],p3,001,2025-09-30_17h23.32.895,Experiment,,2025.1.1,None,2025-09-30 17h23.46.129205 +0530,
1,0,1,[np.float64(-0.08444444444444445)],[np.float64(-0.37444444444444447)],[1],[0],[0],[2.784770957980072],['target'],1,0,1,0,2.0029200830031186,,5,1.9938927500043064,2.0029200830031186,2.0029200830031186,0.01013829099247232,4.778739083005348,[np.float64(-0.08444444444444445)],[np.float64(-0.37444444444444447)],[1],[0],[0],[2.784770957980072],['target'],p3,001,2025-09-30_17h23.32.895,Experiment,,2025.1.1,None,2025-09-30 17h23.46.129205 +0530,
2,0,2,[np.float64(-0.43222222222222223)],[np.float64(0.42333333333333334)],[1],[0],[0],[5.100887375010643],['target'],2,0,2,0,4.819991291005863,,10,4.805541915993672,4.819991291005863,4.819991291005863,0.02662279101787135,9.90649295799085,[np.float64(-0.43222222222222223)],[np.float64(0.42333333333333334)],[1],[0],[0],[5.100887375010643],['target'],p3,001,2025-09-30_17h23.32.895,Experiment,,2025.1.1,None,2025-09-30 17h23.46.129205 +0530,
3,0,3,[np.float64(0.18888888888888888)],[np.float64(0.04)],[1],[0],[0],[2.7612851670128293],['target'],3,0,3,0,9.945188249985222,,10,9.931904665980255,9.945188249985222,9.945188249985222,0.02519441698677838,12.693233625002904,[np.float64(0.18888888888888888)],[np.float64(0.04)],[1],[0],[0],[2.7612851670128293],['target'],p3,001,2025-09-30_17h23.32.895,Experiment,,2025.1.1,None,2025-09-30 17h23.46.129205 +0530,
4,0,4,[np.float64(-0.19555555555555557)],[np.float64(0.11444444444444445)],[1],[0],[0],[4.661619749997044],['target'],4,0,4,0,12.70802887500031,,5,12.70030954098911,12.70802887500031,12.70802887500031,0.006980083999224007,17.36200712498976,[np.float64(-0.19555555555555557)],[np.float64(0.11444444444444445)],[1],[0],[0],[4.661619749997044],['target'],p3,001,2025-09-30_17h23.32.895,Experiment,,2025.1.1,None,2025-09-30 17h23.46.129205 +0530,
5,0,5,[np.float64(-0.10333333333333333)],[np.float64(0.4477777777777778)],[1],[0],[0],[2.2401045419974253],['target'],5,0,5,0,17.402419165999163,,10,17.389149291004287,17.402419165999163,17.402419165999163,0.026970624981913716,19.629319415980717,[np.float64(-0.10333333333333333)],[np.float64(0.4477777777777778)],[1],[0],[0],[2.2401045419974253],['target'],p3,001,2025-09-30_17h23.32.895,Experiment,,2025.1.1,None,2025-09-30 17h23.46.129205 +0530,
6,0,6,[np.float64(0.10777777777777778)],[np.float64(-0.4222222222222222)],[1],[0],[0],[2.817986749985721],['target'],6,0,6,0,19.654685582994716,,5,19.643669749988476,19.654685582994716,19.654685582994716,0.01414120799745433,22.461728166003013,[np.float64(0.10777777777777778)],[np.float64(-0.4222222222222222)],[1],[0],[0],[2.817986749985721],['target'],p3,001,2025-09-30_17h23.32.895,Experiment,,2025.1.1,None,2025-09-30 17h23.46.129205 +0530,
7,0,7,[np.float64(-0.08222222222222222)],[np.float64(-0.3466666666666667)],[1],[0],[0],[2.1895983330032323],['target'],7,0,7,0,22.502356749988394,,10,22.48809691600036,22.502356749988394,22.502356749988394,0.02619004200096242,24.677752916002646,[np.float64(-0.08222222222222222)],[np.float64(-0.3466666666666667)],[1],[0],[0],[2.1895983330032323],['target'],p3,001,2025-09-30_17h23.32.895,Experiment,,2025.1.1,None,2025-09-30 17h23.46.129205 +0530,
8,0,8,[np.float64(0.4111111111111111)],[np.float64(0.05555555555555555)],[1],[0],[0],[2.40532079199329],['target'],8,0,8,0,24.69900841600611,,5,24.689369665982667,24.69900841600611,24.69900841600611,0.01144866700633429,27.094760624982882,[np.float64(0.4111111111111111)],[np.float64(0.05555555555555555)],[1],[0],[0],[2.40532079199329],['target'],p3,001,2025-09-30_17h23.32.895,Experiment,,2025.1.1,None,2025-09-30 17h23.46.129205 +0530,
9,0,9,[np.float64(0.44222222222222224)],[np.float64(0.05)],[1],[0],[0],[1.297194207989378],['target'],9,0,9,0,27.138242790999357,,10,27.12322020798456,27.138242790999357,27.138242790999357,0.02830887501477264,28.420490457996493,[np.float64(0.44222222222222224)],[np.float64(0.05)],[1],[0],[0],[1.297194207989378],['target'],p3,001,2025-09-30_17h23.32.895,Experiment,,2025.1.1,None,2025-09-30 17h23.46.129205 +0530,
10,0,10,[np.float64(0.44222222222222224)],[np.float64(0.05)],[1],[0],[0],[1.0914112909813412],[None],10,0,10,0,28.450759665982332,,5,28.43843729098444,28.450759665982332,28.450759665982332,0.017699332995107397,29.529930666001746,[np.float64(0.44222222222222224)],[np.float64(0.05)],[1],[0],[0],[1.0914112909813412],[None],p3,001,2025-09-30_17h23.32.895,Experiment,,2025.1.1,None,2025-09-30 17h23.46.129205 +0530,
11,0,11,[np.float64(0.17222222222222222)],[np.float64(0.07222222222222222)],[1],[0],[0],[1.8788927910209168],[None],11,0,11,0,29.57261370800552,,10,29.55844458300271,29.57261370800552,29.57261370800552,0.028297165990807116,31.43740358299692,[np.float64(0.17222222222222222)],[np.float64(0.07222222222222222)],[1],[0],[0],[1.8788927910209168],[None],p3,001,2025-09-30_17h23.32.895,Experiment,,2025.1.1,None,2025-09-30 17h23.46.129205 +0530,
12,0,12,[np.float64(0.17)],[np.float64(0.024444444444444446)],[1],[0],[0],[1.6464337079960387],['target'],12,0,12,0,31.46916029098793,,10,31.458036875003017,31.46916029098793,31.46916029098793,0.02047162500093691,33.10455299998284,[np.float64(0.17)],[np.float64(0.024444444444444446)],[1],[0],[0],[1.6464337079960387],['target'],p3,001,2025-09-30_17h23.32.895,Experiment,,2025.1.1,None,2025-09-30 17h23.46.129205 +0530,
