Word,Colour,Stim_condition,Correct_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text_2.started,text_2.stopped,Instructions.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thanks.started,text_3.started,text_3.stopped,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.013257832993986085,0.018833415990229696,1.0162637080065906,0.9924187079886906,,,,,,,,,,,,,,,2,001,2025-08-25_22h36.58.422,untitled,,2025.1.1,None,2025-08-25 22h37.05.669822 +0530,
BLUE,red,I,r,0,0,0,r,1,1.8918935830006376,None,0,0,0,2,1.0162637080065906,,,,,,1.0127409999840893,1.0162637080065906,1.4968806249962654,1.4968806249962654,1.4968806249962654,3.6572865409834776,r,1,1.8918935830006376,None,,,,,2,001,2025-08-25_22h36.58.422,untitled,,2025.1.1,None,2025-08-25 22h37.05.669822 +0530,
RED,blue,I,b,1,1,0,b,1,0.7613099989830516,None,0,1,1,1,3.6717872500012163,,,,,,3.6600225000001956,3.6717872500012163,4.173139624996111,4.173139624996111,4.173139624996111,4.942861916002585,b,1,0.7613099989830516,None,,,,,2,001,2025-08-25_22h36.58.422,untitled,,2025.1.1,None,2025-08-25 22h37.05.669822 +0530,
RED,red,C,r,2,2,0,r,1,0.5431748740084004,None,0,2,2,0,4.9491596249863505,,,,,,4.943355666007847,4.9491596249863505,5.439355374983279,5.439355374983279,5.439355374983279,5.992778207990341,r,1,0.5431748740084004,None,,,,,2,001,2025-08-25_22h36.58.422,untitled,,2025.1.1,None,2025-08-25 22h37.05.669822 +0530,
BLUE,blue,C,b,3,3,0,b,1,0.556406124989735,None,0,3,3,3,6.00151333300164,,,,,,5.995158999983687,6.00151333300164,6.489117374992929,6.489117374992929,6.489117374992929,7.0488658329995815,b,1,0.556406124989735,None,,,,,2,001,2025-08-25_22h36.58.422,untitled,,2025.1.1,None,2025-08-25 22h37.05.669822 +0530,
BLUE,red,I,r,4,0,1,r,1,0.7432657500030473,None,1,0,4,2,7.05572629100061,,,,,,7.049339791003149,7.05572629100061,7.547192416008329,7.547192416008329,7.547192416008329,8.293091250001453,r,1,0.7432657500030473,None,,,,,2,001,2025-08-25_22h36.58.422,untitled,,2025.1.1,None,2025-08-25 22h37.05.669822 +0530,
RED,blue,I,b,5,1,1,b,1,1.1730564160097856,None,1,1,5,1,8.301156000001356,,,,,,8.295327665982768,8.301156000001356,8.789448124996852,8.789448124996852,8.789448124996852,9.965492499992251,b,1,1.1730564160097856,None,,,,,2,001,2025-08-25_22h36.58.422,untitled,,2025.1.1,None,2025-08-25 22h37.05.669822 +0530,
BLUE,blue,C,b,6,2,1,b,1,0.46771833300590515,None,1,2,6,3,9.98969550000038,,,,,,9.967782082996564,9.98969550000038,10.463725249981508,10.463725249981508,10.463725249981508,10.932345665991306,b,1,0.46771833300590515,None,,,,,2,001,2025-08-25_22h36.58.422,untitled,,2025.1.1,None,2025-08-25 22h37.05.669822 +0530,
RED,red,C,r,7,3,1,r,1,0.42823533300543204,None,1,3,7,0,10.951075541001046,,,,,,10.934628124989104,10.951075541001046,11.430245124996873,11.430245124996873,11.430245124996873,11.860024207999231,r,1,0.42823533300543204,None,,,,,2,001,2025-08-25_22h36.58.422,untitled,,2025.1.1,None,2025-08-25 22h37.05.669822 +0530,
BLUE,red,I,r,8,0,2,r,1,0.4134886660031043,None,2,0,8,2,11.8684922499815,,,,,,11.86237037499086,11.8684922499815,12.356194457999663,12.356194457999663,12.356194457999663,12.77654099999927,r,1,0.4134886660031043,None,,,,,2,001,2025-08-25_22h36.58.422,untitled,,2025.1.1,None,2025-08-25 22h37.05.669822 +0530,
