prime_type,prime,target_full,target_fragment,SOA,correct_response,delay,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,mouse.started,prime_text.started,submit_text.started,textbox.started,polygon.stopped,fragment_text.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,trials.textbox.text,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
related ,table,chair,c_a_r,0.4,chair,0.9,10,10,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[13.905175958992913],['submit_text'],chair,0,10,10,43,109.78362874989398,,109.77783395792358,109.78362874989398,0.0035551670007407665,110.28194695804268,110.28194695804268,110.28194695804268,110.29384208307602,110.68159308307804,123.68325529200956,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[13.905175958992913],['submit_text'],chair,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
related ,camera,picture,p_c_u_e,0.4,picture,0.9,11,11,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[5.22089604078792],['submit_text'],picture,0,11,11,41,123.69790633302182,,123.68792212498374,123.69790633302182,0.0045369160361588,124.18867483292706,124.18867483292706,124.18867483292706,124.20119712501764,124.58177824993618,128.90915104211308,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[5.22089604078792],['submit_text'],picture,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
related ,fruit,mango,m_n_o,0.1,mango,0.6,12,12,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[5.696365582989529],['submit_text'],mango,0,12,12,50,128.91944745811634,,128.9142977918964,128.91944745811634,0.004982209065929055,129.41410391707905,129.41410391707905,129.41410391707905,129.426085999934,129.5149992920924,134.61099833296612,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[5.696365582989529],['submit_text'],mango,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
unrelated ,city,feather,f_a_h_r,0.4,feather,0.9,13,13,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[32.21296212496236],['submit_text'],fan heater,0,13,13,68,134.62058191699907,,134.61537841707468,134.62058191699907,0.004242083057761192,135.11544254189357,135.11544254189357,135.11544254189357,135.12792366696522,135.50578133296221,166.82867562491447,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[32.21296212496236],['submit_text'],fan heater,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
unrelated ,powder,chicken,c_i_k_n,0.1,chicken,0.6,14,14,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[20.98648220906034],['submit_text'],chicken,0,14,14,89,166.84136408311315,,166.83498262497596,166.84136408311315,0.006164374994114041,167.33222216693684,167.33222216693684,167.33222216693684,167.34448020812124,167.4326952919364,187.8218063749373,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[20.98648220906034],['submit_text'],chicken,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
related ,sunny,warm,w__m,0.4,warm,0.9,15,15,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[5.452747208066285],['submit_text'],worm,0,15,15,17,187.8334064579103,,187.82593866693787,187.8334064579103,0.003987042000517249,188.3216491250787,188.3216491250787,188.3216491250787,188.333884249907,188.71580729191191,193.27907045790926,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[5.452747208066285],['submit_text'],worm,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
unrelated ,movie,file,f__e,0.1,file,0.6,16,16,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[0],[0],[0],[25.119384958874434],['submit_text'],foe,0,16,16,69,193.28878129203804,,193.2835675419774,193.28878129203804,0.004322416847571731,193.78316620807163,193.78316620807163,193.78316620807163,193.79567212495022,193.88321862509474,218.4033043331001,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[0],[0],[0],[25.119384958874434],['submit_text'],foe,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
unrelated ,perfume,blanket,b_an__e_,0.1,blanket,0.6,17,17,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[0],[0],[0],[10.544704125029966],['submit_text'],banana,0,17,17,91,218.41639420809224,,218.40903495810926,218.41639420809224,0.005578000098466873,218.90539962495677,218.90539962495677,218.90539962495677,218.9175287920516,219.00286237499677,228.95409675012343,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[0],[0],[0],[10.544704125029966],['submit_text'],banana,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
unrelated ,napkin,wave,w__e,0.1,wave,0.6,18,18,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[14.497073082951829],['submit_text'],weep,0,18,18,73,228.96416633296758,,228.95852779201232,228.96416633296758,0.004273124970495701,229.45577787491493,229.45577787491493,229.45577787491493,229.46672208304517,229.56733708293177,243.45595975010656,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[14.497073082951829],['submit_text'],weep,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
related ,kitchen,stove,s_o_e,0.1,stove,0.6,19,19,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[17.906924416078255],['submit_text'],scotch,0,19,19,8,243.46708816708997,,243.4611959999893,243.46708816708997,0.005074125016108155,243.9561736669857,243.9561736669857,243.9561736669857,243.98440158297308,244.05505724996328,261.36850729212165,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[17.906924416078255],['submit_text'],scotch,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
related ,floor,tile,t_l_,0.4,tile,0.9,20,20,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[19.296644000103697],['submit_text'],tale,0,20,20,29,261.38054241705686,,261.3737961249426,261.38054241705686,0.00512674986384809,261.8678957920056,261.8678957920056,261.8678957920056,261.8800985829439,262.2598306669388,280.67085195798427,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[19.296644000103697],['submit_text'],tale,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
unrelated ,toothpaste,mug,m_g,0.1,mug,0.6,21,21,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[5.393697625026107],['submit_text'],mug,0,21,21,83,280.6851257500239,,280.67593612498604,280.6851257500239,0.004937709076330066,281.1749097080901,281.1749097080901,281.1749097080901,281.18767399992794,281.2687108749524,286.06999191711657,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[5.393697625026107],['submit_text'],mug,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
unrelated ,hammer,fan,f_n,0.1,fan,0.6,22,22,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[6.27928820787929],['submit_text'],fun,0,22,22,119,286.0803279581014,,286.0739646248985,286.0803279581014,0.0038562919944524765,286.5742444579955,286.5742444579955,286.5742444579955,286.58636087505147,286.67119091702625,292.3536384170875,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[6.27928820787929],['submit_text'],fun,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
unrelated ,months,high,h_g_,0.4,high,0.9,23,23,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[4.848278458928689],['submit_text'],hags,0,23,23,106,292.36439791694283,,292.35789650003426,292.36439791694283,0.004119290970265865,292.8577048329171,292.8577048329171,292.8577048329171,292.88562641711906,293.2545092499349,297.20651866705157,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[4.848278458928689],['submit_text'],hags,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
related ,clock,time,t_m_,0.1,time,0.6,24,24,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[7.500480415998027],['submit_text'],time,0,24,24,28,297.21824037493207,,297.21018212498166,297.21824037493207,0.0035377920139580965,297.7090277920943,297.7090277920943,297.7090277920943,297.72222958295606,297.81233499990776,304.71102591697127,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[7.500480415998027],['submit_text'],time,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
