delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.4,400,unexp,0,0,0,space,2.4858907490270212,None,387,1,[31.22590937500354],[31.225913708098233],0,0,0,1,0.043408041005022824,,0.018209165893495083,0.043408041005022824,0.9981873329961672,0.9981873329961672,1.0419072079239413,3.664447582908906,space,2.4858907490270212,None,3.6648102909093723,4.064102791661086,4.37441074999515,4.354083332931623,4.35688679094892,4.37441074999515,4.37441074999515,4.37441074999515,35.60059870791156,387,1,[31.22590937500354],[31.225913708098233],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.7,1000,exp,1,1,0,space,3.053748249076307,None,800,1,[5.763045499916188],[5.763049667002633],0,1,1,8,35.60887583298609,,35.60088512499351,35.60887583298609,36.59261724993121,36.59261724993121,36.59984712500591,39.662175499950536,space,3.053748249076307,None,39.6637179160025,40.366196999621266,40.670971582992934,40.655350249959156,40.65713116596453,40.670971582992934,40.670971582992934,40.670971582992934,46.43429337500129,800,1,[5.763045499916188],[5.763049667002633],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.7,1000,exp,2,2,0,space,2.9022029159823433,None,787,1,[10.275648916955106],[10.275653208023869],0,2,2,5,46.442421832936816,,46.434507124940865,46.442421832936816,47.42625454091467,47.42625454091467,47.433336874935776,50.33469879091717,space,2.9022029159823433,None,50.335071290959604,51.04299733258473,51.35870795790106,51.343868832918815,51.3451109159505,51.35870795790106,51.35870795790106,51.35870795790106,61.63463074993342,787,1,[10.275648916955106],[10.275653208023869],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.4,1000,exp,3,3,0,space,0.1146348329493776,None,687,1,[10.495583209092729],[10.495586584089324],0,3,3,7,61.64274354092777,,61.634852165938355,61.64274354092777,62.62636370793916,62.62636370793916,62.63325283292215,62.74482837493997,space,0.1146348329493776,None,62.74657579092309,63.149832624654906,63.455234707915224,63.43862079095561,63.44052383292001,63.455234707915224,63.455234707915224,63.455234707915224,73.95110212499276,687,1,[10.495583209092729],[10.495586584089324],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.1,1000,exp,4,4,0,space,2.4041020000586286,None,898,1,[6.055847666924819],[6.0558527919929475],0,4,4,3,73.95954954100307,,73.95132920797914,73.95954954100307,74.94326566590462,74.94326566590462,74.9509070829954,77.35170812497381,space,2.4041020000586286,None,77.35311570798513,77.4599405415977,77.76213629089762,77.74862362490967,77.75029108289164,77.76213629089762,77.76213629089762,77.76213629089762,83.81828379095532,898,1,[6.055847666924819],[6.0558527919929475],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.1,1000,exp,5,5,0,space,8.079664040938951,None,786,1,[3.379992292029783],[3.37999604200013],0,5,5,6,83.82582212495618,,83.8185236249119,83.82582212495618,84.80999958293978,84.80999958293978,84.81766449997667,92.89505145791918,space,8.079664040938951,None,92.89671645790804,93.00014520757055,93.30420449993107,93.289492999902,93.29133291600738,93.30420449993107,93.30420449993107,93.30420449993107,96.68447499989998,786,1,[3.379992292029783],[3.37999604200013],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.4,1000,exp,6,6,0,space,0.3674304159358144,None,465,1,[3.687113624997437],[3.6871177919674665],0,6,6,4,96.69320116599556,,96.68470345798414,96.69320116599556,97.67713212489616,97.67713212489616,97.68376537493896,98.05249274999369,space,0.3674304159358144,None,98.05316279095132,98.46080591663873,98.76410104089882,98.748951415997,98.7511127499165,98.76410104089882,98.76410104089882,98.76410104089882,102.45150633295998,465,1,[3.687113624997437],[3.6871177919674665],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.1,1000,exp,7,7,0,space,2.515882415929809,None,354,1,[4.563459541997872],[4.5634631250286475],0,7,7,9,102.46060237498023,,102.45172533299774,102.46060237498023,103.44382399995811,103.44382399995811,103.45136770792305,105.96202620794065,space,2.515882415929809,None,105.9632232079748,106.06650104158713,106.37122237496078,106.35632137500215,106.35816933296155,106.37122237496078,106.37122237496078,106.37122237496078,110.9349704158958,354,1,[4.563459541997872],[4.5634631250286475],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.7,1000,exp,8,8,0,space,2.3323231659596786,None,567,1,[3.105923624942079],[3.1059284589719027],0,8,8,11,110.94352787500247,,110.93518087500706,110.94352787500247,111.93432258290704,111.93432258290704,111.93432258290704,114.27740575000644,space,2.3323231659596786,None,114.27778520795982,114.97748058260574,115.2799557079561,115.26582895789761,115.26749837491661,115.2799557079561,115.2799557079561,115.2799557079561,118.38619429094251,567,1,[3.105923624942079],[3.1059284589719027],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.1,400,unexp,9,9,0,space,0.770216750097461,None,456,1,[2.536934499978088],[2.536937874974683],0,9,9,0,118.39297979092225,,118.3864271659404,118.39297979092225,119.38530245795846,119.38530245795846,119.38530245795846,120.16150849999394,space,0.770216750097461,None,120.16203116590623,120.26076870767089,120.56525845790748,120.55049374990631,120.55288574995939,120.56525845790748,120.56525845790748,120.56525845790748,123.10248358291574,456,1,[2.536934499978088],[2.536937874974683],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
