thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
57,0,57,down,1,0.5084857489855494,None,-5,57,0,57,0,101.27935095800785,,101.26976004100288,101.27935095800785,102.26641275000293,102.27190591598628,102.78536004098714,down,1,0.5084857489855494,None,-5,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
58,0,58,up,1,1.2548614160041325,None,0,58,0,58,0,102.79454541599262,,102.78598429099657,102.79454541599262,103.78316150000319,103.78904154099291,105.04197679099161,up,1,1.2548614160041325,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
59,0,59,down,0,1.0859430819982663,None,0,59,0,59,0,105.05239291599719,,105.04265691598994,105.05239291599719,106.04000799998175,106.04989991598995,107.13630770798773,down,0,1.0859430819982663,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
60,0,60,up,1,0.8375906239962205,None,0,60,0,60,0,107.14635674998863,,107.13709916599328,107.14635674998863,108.13329316599993,108.1387715000019,108.97445812498336,up,1,0.8375906239962205,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
61,0,61,up,1,0.616039415996056,None,0,61,0,61,0,108.98381654100376,,108.9749948749959,108.98381654100376,109.97380279100616,109.97380279100616,110.60231012498843,up,1,0.616039415996056,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
62,0,62,up,1,0.4538381659949664,None,0,62,0,62,0,110.61237395799253,,110.60290720799821,110.61237395799253,111.59997216600459,111.6063215410104,112.05741979100276,up,1,0.4538381659949664,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
63,0,63,down,1,0.6793786660127807,None,4,63,0,63,0,112.06714579099207,,112.05793366598664,112.06714579099207,113.05655799998203,113.05655799998203,113.7418984999822,down,1,0.6793786660127807,None,4,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
64,0,64,down,1,0.6275515409943182,None,3,64,0,64,0,113.75195058298414,,113.74256279098336,113.75195058298414,114.74137825000798,114.74987974998658,115.37506654098979,down,1,0.6275515409943182,None,3,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
65,0,65,down,1,0.47635091599659063,None,2,65,0,65,0,115.40004074998433,,115.37563008299912,115.40004074998433,116.37472895800602,116.3881993329851,116.85844216600526,down,1,0.47635091599659063,None,2,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
66,0,66,down,0,0.6456513330049347,None,0,66,0,66,0,116.88352333300281,,116.85894179099705,116.88352333300281,117.8583781659836,117.87190958298743,118.50874762499006,down,0,0.6456513330049347,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
67,0,67,down,0,0.6401895409799181,None,0,67,0,67,0,118.5193215830077,,118.50936212498345,118.5193215830077,119.50789733300917,119.51657220799825,120.1522692499857,down,0,0.6401895409799181,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
68,0,68,down,1,0.5981289159972221,None,-2,68,0,68,0,120.16208433298743,,120.152911415993,120.16208433298743,121.14998579100939,121.15592795799603,121.75267374998657,down,1,0.5981289159972221,None,-2,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
69,0,69,down,1,0.5757352490036283,None,2,69,0,69,0,121.76361091600847,,121.75339016600628,121.76361091600847,122.75010733300587,122.75623320799787,123.33581887499895,down,1,0.5757352490036283,None,2,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
70,0,70,down,1,0.5012782069970854,None,4,70,0,70,0,123.34523595799692,,123.33635187498294,123.34523595799692,124.33363649999956,124.33981345800566,124.84093858298729,down,1,0.5012782069970854,None,4,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
71,0,71,down,1,0.6364840409951285,None,2,71,0,71,0,124.84978654098813,,124.84142158299801,124.84978654098813,125.84046345800743,125.84046345800743,126.48648849999881,down,1,0.6364840409951285,None,2,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
72,0,72,up,0,1.3141961239743978,None,-3,72,0,72,0,126.49680716599687,,126.48719383298885,126.49680716599687,127.48384341600467,127.489791333006,128.80300754099153,up,0,1.3141961239743978,None,-3,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
73,0,73,down,1,1.199738040973898,None,-2,73,0,73,0,128.8135140829836,,128.80365541600622,128.8135140829836,129.8004081249819,129.80629566599964,131.00311962500564,down,1,1.199738040973898,None,-2,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
74,0,74,up,1,0.6035561239987146,None,0,74,0,74,0,131.01405649998924,,131.0037331659987,131.01405649998924,132.00054333300795,132.0064451659855,132.60872633298277,up,1,0.6035561239987146,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
75,0,75,up,1,0.44911175000015646,None,0,75,0,75,0,132.63377929100534,,132.6092901660013,132.63377929100534,133.60804279099102,133.62219783299952,134.07004108300316,up,1,0.44911175000015646,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
76,0,76,down,0,0.8028669159975834,None,0,76,0,76,0,134.08051412500208,,134.07084075000603,134.08051412500208,135.0670839159866,135.07303679100005,135.87544704100583,down,0,0.8028669159975834,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
77,0,77,down,1,0.6642475819971878,None,1,77,0,77,0,135.90053466599784,,135.87602674998925,135.90053466599784,136.87483516600332,136.88902162498562,137.542588124983,down,1,0.6642475819971878,None,1,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
78,0,78,down,0,0.6743569579848554,None,0,78,0,78,0,137.55326566600706,,137.54329775000224,137.55326566600706,138.54269183299039,138.55076833299245,139.22008408300462,down,0,0.6743569579848554,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
79,0,79,down,1,0.8166281660087407,None,-3,79,0,79,0,139.23139545798767,,139.22089579098974,139.23139545798767,140.21735324998735,140.2232819159981,141.03605979098938,down,1,0.8166281660087407,None,-3,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
