pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,3.7287196660181507,None,0,0,0,0,,,,,0.06317091602250002,,0.05040249999728985,0.06317091602250002,1.0088352910242975,1.0088352910242975,1.0088352910242975,1.0088352910242975,1.058286041021347,1.9937830000126269,1.9937830000126269,6.060480750020361,x,1,3.7287196660181507,None,,,,,p1,001,2025-09-30_13h36.55.308,untitled,,2025.1.1,120.18917727464621,2025-09-30 13h40.53.710155 +0530,
150,v,1,1,0,v,1,0.9761530410032719,None,0,1,1,1,,,,,6.08337916599703,,6.060686375014484,6.08337916599703,7.059097874996951,7.059097874996951,7.059097874996951,7.059097874996951,7.075641250004992,8.059171166009037,8.059171166009037,9.043192000011913,v,1,0.9761530410032719,None,,,,,p1,001,2025-09-30_13h36.55.308,untitled,,2025.1.1,120.18917727464621,2025-09-30 13h40.53.710155 +0530,
50,c,2,2,0,c,1,2.0201519160182215,None,0,2,2,2,,,,,9.068781416019192,,9.04366445800406,9.068781416019192,10.035464500018861,10.035464500018861,10.035464500018861,10.035464500018861,10.05833108301158,11.035301916010212,11.035301916010212,13.06073108300916,c,1,2.0201519160182215,None,,,,,p1,001,2025-09-30_13h36.55.308,untitled,,2025.1.1,120.18917727464621,2025-09-30 13h40.53.710155 +0530,
-150,z,3,3,0,z,1,0.9808621660049539,None,0,3,3,3,,,,,13.07064945800812,,13.061295291001443,13.07064945800812,14.058293000009144,14.058293000009144,14.058293000009144,14.058293000009144,14.068117458024062,15.059524750016863,15.059524750016863,16.042807207995793,z,1,0.9808621660049539,None,,,,,p1,001,2025-09-30_13h36.55.308,untitled,,2025.1.1,120.18917727464621,2025-09-30 13h40.53.710155 +0530,
-50,x,4,0,1,x,1,0.9056743330147583,None,1,0,4,0,,,,,16.06838958300068,,16.043341541022528,16.06838958300068,17.04362233300344,17.04362233300344,17.04362233300344,17.04362233300344,17.059641041007126,18.03472774999682,18.03472774999682,18.944637041015085,x,1,0.9056743330147583,None,,,,,p1,001,2025-09-30_13h36.55.308,untitled,,2025.1.1,120.18917727464621,2025-09-30 13h40.53.710155 +0530,
150,v,5,1,1,v,1,0.6699667499924544,None,1,1,5,1,,,,,18.95474237500457,,18.945217208005488,18.95474237500457,19.94287029100815,19.94287029100815,19.94287029100815,19.94287029100815,19.951560250017792,20.943770250014495,20.943770250014495,21.620738291007,v,1,0.6699667499924544,None,,,,,p1,001,2025-09-30_13h36.55.308,untitled,,2025.1.1,120.18917727464621,2025-09-30 13h40.53.710155 +0530,
50,c,6,2,1,c,1,0.5757220830128063,None,1,2,6,2,,,,,21.634895583003527,,21.621433041000273,21.634895583003527,22.61860433302354,22.61860433302354,22.61860433302354,22.61860433302354,22.625721333024558,23.61869437500718,23.61869437500718,24.202721250010654,c,1,0.5757220830128063,None,,,,,p1,001,2025-09-30_13h36.55.308,untitled,,2025.1.1,120.18917727464621,2025-09-30 13h40.53.710155 +0530,
-150,z,7,3,1,z,1,0.6115429989877157,None,1,3,7,3,,,,,24.21192583302036,,24.20317383299698,24.21192583302036,25.19419204100268,25.19419204100268,25.19419204100268,25.19419204100268,25.2095200830081,26.194035874999827,26.194035874999827,26.81004333301098,z,1,0.6115429989877157,None,,,,,p1,001,2025-09-30_13h36.55.308,untitled,,2025.1.1,120.18917727464621,2025-09-30 13h40.53.710155 +0530,
-50,x,8,0,2,x,1,0.6141439990024082,None,2,0,8,0,,,,,26.8214242499962,,26.810571208014153,26.8214242499962,27.809421000012662,27.809421000012662,27.809421000012662,27.809421000012662,27.818362625024747,28.802162791020237,28.802162791020237,29.419856666005217,x,1,0.6141439990024082,None,,,,,p1,001,2025-09-30_13h36.55.308,untitled,,2025.1.1,120.18917727464621,2025-09-30 13h40.53.710155 +0530,
150,v,9,1,2,v,1,0.6570160409901291,None,2,1,9,1,,,,,29.43076691601891,,29.420421916001942,29.43076691601891,30.418500375002623,30.418500375002623,30.418500375002623,30.418500375002623,30.4251440410153,31.41845325002214,31.41845325002214,32.08616208299645,v,1,0.6570160409901291,None,,,,,p1,001,2025-09-30_13h36.55.308,untitled,,2025.1.1,120.18917727464621,2025-09-30 13h40.53.710155 +0530,
