pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.7019358330289833,None,0,0,0,0,,,,,0.05196304200217128,,0.04079004196682945,0.05196304200217128,1.0059724579914473,1.0059724579914473,1.0059724579914473,1.0059724579914473,1.0503046669764444,1.9932622920023277,1.9932622920023277,3.0240288749919273,x,1,0.7019358330289833,None,,,,,p5,001,2025-10-02_12h51.59.578,untitled,,2025.1.1,120.05954954275607,2025-10-02 12h52.21.238452 +0530,
150,v,1,1,0,v,1,0.821396375016775,None,0,1,1,1,,,,,3.044844416959677,,3.0242286669672467,3.044844416959677,4.017221374961082,4.017221374961082,4.017221374961082,4.017221374961082,4.0401974999695085,5.02585574996192,5.02585574996192,5.853050666977651,v,1,0.821396375016775,None,,,,,p5,001,2025-10-02_12h51.59.578,untitled,,2025.1.1,120.05954954275607,2025-10-02 12h52.21.238452 +0530,
50,c,2,2,0,c,1,0.6576356249861419,None,0,2,2,2,,,,,5.864378832979128,,5.853740707971156,5.864378832979128,6.8508407499757595,6.8508407499757595,6.8508407499757595,6.8508407499757595,6.858097916992847,7.85967187496135,7.85967187496135,8.525726457999554,c,1,0.6576356249861419,None,,,,,p5,001,2025-10-02_12h51.59.578,untitled,,2025.1.1,120.05954954275607,2025-10-02 12h52.21.238452 +0530,
-150,z,3,3,0,z,1,0.32049041701247916,None,0,3,3,3,,,,,8.550727541965898,,8.526175207982305,8.550727541965898,9.517489916994236,9.517489916994236,9.517489916994236,9.517489916994236,9.54096087499056,10.534717832983006,10.534717832983006,10.859004458005074,z,1,0.32049041701247916,None,,,,,p5,001,2025-10-02_12h51.59.578,untitled,,2025.1.1,120.05954954275607,2025-10-02 12h52.21.238452 +0530,
-50,x,4,0,1,x,1,0.6678704990190454,None,1,0,4,0,,,,,10.884161624999251,,10.859552749956492,10.884161624999251,11.857899207971059,11.857899207971059,11.857899207971059,11.857899207971059,11.87363958300557,12.860373582981993,12.860373582981993,13.535406707960647,x,1,0.6678704990190454,None,,,,,p5,001,2025-10-02_12h51.59.578,untitled,,2025.1.1,120.05954954275607,2025-10-02 12h52.21.238452 +0530,
150,v,5,1,1,v,1,0.3089518750202842,None,1,1,5,1,,,,,13.544261832954362,,13.535842416982632,13.544261832954362,14.533946624957025,14.533946624957025,14.533946624957025,14.533946624957025,14.540153207955882,15.527316791994963,15.527316791994963,15.842155582970008,v,1,0.3089518750202842,None,,,,,p5,001,2025-10-02_12h51.59.578,untitled,,2025.1.1,120.05954954275607,2025-10-02 12h52.21.238452 +0530,
50,c,6,2,1,c,1,0.5806148329866119,None,1,2,6,2,,,,,15.86763674998656,,15.84273170796223,15.86763674998656,16.841332166979555,16.841332166979555,16.841332166979555,16.841332166979555,16.857738707971293,17.833917791955173,17.833917791955173,18.420065166952554,c,1,0.5806148329866119,None,,,,,p5,001,2025-10-02_12h51.59.578,untitled,,2025.1.1,120.05954954275607,2025-10-02 12h52.21.238452 +0530,
-150,z,7,3,1,z,1,0.30526366602862254,None,1,3,7,3,,,,,18.434109958005138,,18.42077237495687,18.434109958005138,19.417739333002828,19.417739333002828,19.417739333002828,19.417739333002828,19.425061666988768,20.41705829196144,20.41705829196144,20.72775774996262,z,1,0.30526366602862254,None,,,,,p5,001,2025-10-02_12h51.59.578,untitled,,2025.1.1,120.05954954275607,2025-10-02 12h52.21.238452 +0530,
-50,x,8,0,2,x,1,0.4566674579982646,None,2,0,8,0,,,,,20.737328041985165,,20.72821066697361,20.737328041985165,21.725387624988798,21.725387624988798,21.725387624988798,21.725387624988798,21.734012874949258,22.72550974995829,22.72550974995829,23.18482933298219,x,1,0.4566674579982646,None,,,,,p5,001,2025-10-02_12h51.59.578,untitled,,2025.1.1,120.05954954275607,2025-10-02 12h52.21.238452 +0530,
150,v,9,1,2,v,1,0.28701500000897795,None,2,1,9,1,,,,,23.190883707953617,,23.185259582998697,23.190883707953617,24.17520258296281,24.17520258296281,24.17520258296281,24.17520258296281,24.18425379198743,25.174377416959032,25.174377416959032,25.469051749969367,v,1,0.28701500000897795,None,,,,,p5,001,2025-10-02_12h51.59.578,untitled,,2025.1.1,120.05954954275607,2025-10-02 12h52.21.238452 +0530,
50,c,10,2,2,c,1,0.2974937080289237,None,2,2,10,2,,,,,25.478761292004492,,25.469500999955926,25.478761292004492,26.48516054195352,26.48516054195352,26.48516054195352,26.48516054195352,26.48516054195352,27.467742041975725,27.467742041975725,27.769042667001486,c,1,0.2974937080289237,None,,,,,p5,001,2025-10-02_12h51.59.578,untitled,,2025.1.1,120.05954954275607,2025-10-02 12h52.21.238452 +0530,
-150,z,11,3,2,z,1,0.024559040961321443,None,2,3,11,3,,,,,27.778812832955737,,27.7695927079767,27.778812832955737,28.767855541955214,28.767855541955214,28.767855541955214,28.767855541955214,28.775383792002685,29.767773500003386,29.767773500003386,29.80236899998272,z,1,0.024559040961321443,None,,,,,p5,001,2025-10-02_12h51.59.578,untitled,,2025.1.1,120.05954954275607,2025-10-02 12h52.21.238452 +0530,
-50,x,12,0,3,x,1,0.3890717910253443,None,3,0,12,0,,,,,29.812050457985606,,29.80290766694816,29.812050457985606,30.80190749996109,30.80190749996109,30.80190749996109,30.80190749996109,30.808562582999002,31.81819095800165,31.81819095800165,32.21117416699417,x,1,0.3890717910253443,None,,,,,p5,001,2025-10-02_12h51.59.578,untitled,,2025.1.1,120.05954954275607,2025-10-02 12h52.21.238452 +0530,
150,v,13,1,3,v,1,0.32028145797085017,None,3,1,13,1,,,,,32.220931207994,,32.21192949998658,32.220931207994,33.20884629199281,33.20884629199281,33.20884629199281,33.20884629199281,33.217897541995626,34.211024416959845,34.211024416959845,34.536273124977015,v,1,0.32028145797085017,None,,,,,p5,001,2025-10-02_12h51.59.578,untitled,,2025.1.1,120.05954954275607,2025-10-02 12h52.21.238452 +0530,
50,c,14,2,3,c,1,0.3576040419866331,None,3,2,14,2,,,,,34.54691608296707,,34.53697762498632,34.54691608296707,35.53562966699246,35.53562966699246,35.53562966699246,35.53562966699246,35.542934499972034,36.55202974996064,36.55202974996064,36.92033125000307,c,1,0.3576040419866331,None,,,,,p5,001,2025-10-02_12h51.59.578,untitled,,2025.1.1,120.05954954275607,2025-10-02 12h52.21.238452 +0530,
-150,z,15,3,3,z,1,0.29788300005020574,None,3,3,15,3,,,,,36.934482541983016,,36.9210614169715,36.934482541983016,37.918879791977815,37.918879791977815,37.918879791977815,37.918879791977815,37.92597908299649,38.91844799998216,38.91844799998216,39.21890508296201,z,1,0.29788300005020574,None,,,,,p5,001,2025-10-02_12h51.59.578,untitled,,2025.1.1,120.05954954275607,2025-10-02 12h52.21.238452 +0530,
-50,x,16,0,4,x,1,1.1777934990241192,None,4,0,16,0,,,,,39.224835332948714,,39.21933316695504,39.224835332948714,40.2090085829841,40.2090085829841,40.2090085829841,40.2090085829841,40.217914624954574,41.21863404195756,41.21863404195756,42.40396287495969,x,1,1.1777934990241192,None,,,,,p5,001,2025-10-02_12h51.59.578,untitled,,2025.1.1,120.05954954275607,2025-10-02 12h52.21.238452 +0530,
150,v,17,1,4,v,1,0.34398983302526176,None,4,1,17,1,,,,,42.4149617079529,,42.40468054194935,42.4149617079529,43.40214416699018,43.40214416699018,43.40214416699018,43.40214416699018,43.40914254199015,44.41138745797798,44.41138745797798,44.760298332956154,v,1,0.34398983302526176,None,,,,,p5,001,2025-10-02_12h51.59.578,untitled,,2025.1.1,120.05954954275607,2025-10-02 12h52.21.238452 +0530,
50,c,18,2,4,c,1,0.4783352499944158,None,4,2,18,2,,,,,44.77089608297683,,44.76092724996852,44.77089608297683,45.75958991696825,45.75958991696825,45.75958991696825,45.75958991696825,45.76807516696863,46.75908604200231,46.75908604200231,47.2430972919683,c,1,0.4783352499944158,None,,,,,p5,001,2025-10-02_12h51.59.578,untitled,,2025.1.1,120.05954954275607,2025-10-02 12h52.21.238452 +0530,
-150,z,19,3,4,z,1,0.3057045419700444,None,4,3,19,3,,,,,47.26887266698759,,47.243654541962314,47.26887266698759,48.24399808299495,48.24399808299495,48.24399808299495,48.24399808299495,48.28574837499764,49.2426158330054,49.2426158330054,49.5528011249844,z,1,0.3057045419700444,None,,,,,p5,001,2025-10-02_12h51.59.578,untitled,,2025.1.1,120.05954954275607,2025-10-02 12h52.21.238452 +0530,
-50,x,20,0,5,x,1,0.6006940410006791,None,5,0,20,0,,,,,49.562070124957245,,49.553326249995735,49.562070124957245,50.55159379198449,50.55159379198449,50.55159379198449,50.55159379198449,50.55833408300532,51.55254474998219,51.55254474998219,52.161341374972835,x,1,0.6006940410006791,None,,,,,p5,001,2025-10-02_12h51.59.578,untitled,,2025.1.1,120.05954954275607,2025-10-02 12h52.21.238452 +0530,
