thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_dist,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.01)],[np.float64(0.12333333333333334)],[1],[0],[0],[6.912248374981573],['target'],0,0,0,0,0.04819533400586806,,10,0.030774209008086473,0.04819533400586806,0.04819533400586806,0.030786417017225176,6.943100749980658,[np.float64(-0.01)],[np.float64(0.12333333333333334)],[1],[0],[0],[6.912248374981573],['target'],p2,001,2025-09-30_13h13.49.439,Experiment,,2025.1.1,120.1043716614877,2025-09-30 13h14.01.508087 +0530,
1,0,1,[np.float64(0.28888888888888886)],[np.float64(0.43222222222222223)],[1],[0],[0],[11.64060337500996],['target'],1,0,1,0,6.974867791985162,,10,6.963553124980535,6.974867791985162,6.974867791985162,0.020217000012053177,18.604230166994967,[np.float64(0.28888888888888886)],[np.float64(0.43222222222222223)],[1],[0],[0],[11.64060337500996],['target'],p2,001,2025-09-30_13h13.49.439,Experiment,,2025.1.1,120.1043716614877,2025-09-30 13h14.01.508087 +0530,
2,0,2,[np.float64(-0.38666666666666666)],[np.float64(0.39666666666666667)],[0],[0],[0],[1.882469083997421],['target'],2,0,2,0,18.625721583986888,,5,18.61561670899391,18.625721583986888,18.625721583986888,0.011211042001377791,20.498196542001097,[np.float64(-0.38666666666666666)],[np.float64(0.39666666666666667)],[0],[0],[0],[1.882469083997421],['target'],p2,001,2025-09-30_13h13.49.439,Experiment,,2025.1.1,120.1043716614877,2025-09-30 13h14.01.508087 +0530,
3,0,3,[np.float64(-0.2088888888888889)],[np.float64(0.13666666666666666)],[1],[0],[0],[2.638815333979437],['target'],3,0,3,0,20.527682374988217,,5,20.516077167005278,20.527682374988217,20.527682374988217,0.01761137499124743,23.154960791987833,[np.float64(-0.2088888888888889)],[np.float64(0.13666666666666666)],[1],[0],[0],[2.638815333979437],['target'],p2,001,2025-09-30_13h13.49.439,Experiment,,2025.1.1,120.1043716614877,2025-09-30 13h14.01.508087 +0530,
4,0,4,[np.float64(0.4888888888888889)],[np.float64(-0.36444444444444446)],[1],[0],[0],[3.8168792499927804],['target'],4,0,4,0,23.18275520898169,,5,23.17097645899048,23.18275520898169,23.18275520898169,0.01580620900494978,26.987930709001375,[np.float64(0.4888888888888889)],[np.float64(-0.36444444444444446)],[1],[0],[0],[3.8168792499927804],['target'],p2,001,2025-09-30_13h13.49.439,Experiment,,2025.1.1,120.1043716614877,2025-09-30 13h14.01.508087 +0530,
5,0,5,[np.float64(-0.051111111111111114)],[np.float64(0.2822222222222222)],[1],[0],[0],[4.086652499972843],['target'],5,0,5,0,27.016707000002498,,5,27.00456891700742,27.016707000002498,27.016707000002498,0.01642516697756946,31.091304125002353,[np.float64(-0.051111111111111114)],[np.float64(0.2822222222222222)],[1],[0],[0],[4.086652499972843],['target'],p2,001,2025-09-30_13h13.49.439,Experiment,,2025.1.1,120.1043716614877,2025-09-30 13h14.01.508087 +0530,
6,0,6,[np.float64(-0.051111111111111114)],[np.float64(0.2822222222222222)],[1],[0],[0],[0.14838745800079778],[None],6,0,6,0,31.13711083398084,,10,31.12261354198563,31.13711083398084,31.13711083398084,0.03108716700808145,31.271035874990048,[np.float64(-0.051111111111111114)],[np.float64(0.2822222222222222)],[1],[0],[0],[0.14838745800079778],[None],p2,001,2025-09-30_13h13.49.439,Experiment,,2025.1.1,120.1043716614877,2025-09-30 13h14.01.508087 +0530,
7,0,7,[np.float64(-0.25555555555555554)],[np.float64(-0.33444444444444443)],[1],[0],[0],[3.945818042004248],['target'],7,0,7,0,31.30265316698933,,10,31.2916286670079,31.30265316698933,31.30265316698933,0.020420000015292317,35.23750133399153,[np.float64(-0.25555555555555554)],[np.float64(-0.33444444444444443)],[1],[0],[0],[3.945818042004248],['target'],p2,001,2025-09-30_13h13.49.439,Experiment,,2025.1.1,120.1043716614877,2025-09-30 13h14.01.508087 +0530,
8,0,8,[np.float64(0.14888888888888888)],[np.float64(-0.23333333333333334)],[1],[0],[0],[1.5394388330169022],['target'],8,0,8,0,35.25889758398989,,5,35.24886983400211,35.25889758398989,35.25889758398989,0.01120641699526459,36.78838170898962,[np.float64(0.14888888888888888)],[np.float64(-0.23333333333333334)],[1],[0],[0],[1.5394388330169022],['target'],p2,001,2025-09-30_13h13.49.439,Experiment,,2025.1.1,120.1043716614877,2025-09-30 13h14.01.508087 +0530,
9,0,9,[np.float64(0.14888888888888888)],[np.float64(-0.23333333333333334)],[1],[0],[0],[0.1381169999949634],[None],9,0,9,0,36.829596916999435,,10,36.81551662500715,36.829596916999435,36.829596916999435,0.026937249989714473,36.95369229200878,[np.float64(0.14888888888888888)],[np.float64(-0.23333333333333334)],[1],[0],[0],[0.1381169999949634],[None],p2,001,2025-09-30_13h13.49.439,Experiment,,2025.1.1,120.1043716614877,2025-09-30 13h14.01.508087 +0530,
10,0,10,[np.float64(0.14777777777777779)],[np.float64(-0.21666666666666667)],[0],[0],[0],[1.391555290989345],[None],10,0,10,0,36.985046708985465,,10,36.97400537499925,36.985046708985465,36.985046708985465,0.02015087500330992,38.36568287498085,[np.float64(0.14777777777777779)],[np.float64(-0.21666666666666667)],[0],[0],[0],[1.391555290989345],[None],p2,001,2025-09-30_13h13.49.439,Experiment,,2025.1.1,120.1043716614877,2025-09-30 13h14.01.508087 +0530,
11,0,11,[np.float64(0.14777777777777779)],[np.float64(-0.21666666666666667)],[1],[0],[0],[0.1440025420160964],[None],11,0,11,0,38.40692045900505,,10,38.39341141699697,38.40692045900505,38.40692045900505,0.027461292018415406,38.537458000006154,[np.float64(0.14777777777777779)],[np.float64(-0.21666666666666667)],[1],[0],[0],[0.1440025420160964],[None],p2,001,2025-09-30_13h13.49.439,Experiment,,2025.1.1,120.1043716614877,2025-09-30 13h14.01.508087 +0530,
12,0,12,[np.float64(0.14777777777777779)],[np.float64(-0.21666666666666667)],[1],[0],[0],[1.213836958981119],[None],12,0,12,0,38.569620499998564,,10,38.557865791983204,38.569620499998564,38.569620499998564,0.02024000001256354,39.77176899998449,[np.float64(0.14777777777777779)],[np.float64(-0.21666666666666667)],[1],[0],[0],[1.213836958981119],[None],p2,001,2025-09-30_13h13.49.439,Experiment,,2025.1.1,120.1043716614877,2025-09-30 13h14.01.508087 +0530,
13,0,13,[np.float64(0.14777777777777779)],[np.float64(-0.21666666666666667)],[1],[0],[0],[0.14408224998624064],[None],13,0,13,0,39.80500379198929,,10,39.792820417002076,39.80500379198929,39.80500379198929,0.0208935420087073,39.936946625006385,[np.float64(0.14777777777777779)],[np.float64(-0.21666666666666667)],[1],[0],[0],[0.14408224998624064],[None],p2,001,2025-09-30_13h13.49.439,Experiment,,2025.1.1,120.1043716614877,2025-09-30 13h14.01.508087 +0530,
14,0,14,[np.float64(0.43444444444444447)],[np.float64(-0.035555555555555556)],[1],[0],[0],[3.8026841249957215],['target'],14,0,14,0,39.96625475000474,,10,39.9552563749894,39.96625475000474,39.96625475000474,0.018169416987802833,43.75801175000379,[np.float64(0.43444444444444447)],[np.float64(-0.035555555555555556)],[1],[0],[0],[3.8026841249957215],['target'],p2,001,2025-09-30_13h13.49.439,Experiment,,2025.1.1,120.1043716614877,2025-09-30 13h14.01.508087 +0530,
