reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
15,35,13,0,0,0,t,2.5279154159361497,None,0,0,0,1,0.09505995805375278,,0.08220791700296104,0.09505995805375278,1.0037413750542328,1.0037413750542328,1.1046970420284197,3.890822416986339,t,2.5279154159361497,None,p1,001,2025-10-31_15h20.44.411,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 15h20.55.141832 +0530,
27,50,21,1,1,0,t,2.366814999957569,None,0,1,1,2,3.9431749579962343,,3.8944050420541316,3.9431749579962343,4.904497542069294,4.904497542069294,4.954559542005882,7.28013616707176,t,2.366814999957569,None,p1,001,2025-10-31_15h20.44.411,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 15h20.55.141832 +0530,
88,98,195,2,2,0,t,5.138703792006709,None,0,2,2,8,7.314904417027719,,7.289817332988605,7.314904417027719,8.278769167023711,8.278769167023711,8.32152312505059,13.422350957989693,t,5.138703792006709,None,p1,001,2025-10-31_15h20.44.411,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 15h20.55.141832 +0530,
85,95,180,3,3,0,t,4.48477862495929,None,0,3,3,7,13.438665249967016,,13.429218542063609,13.438665249967016,14.421753667062148,14.421753667062148,14.428760707960464,18.913370207999833,t,4.48477862495929,None,p1,001,2025-10-31_15h20.44.411,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 15h20.55.141832 +0530,
67,75,119,4,4,0,t,3.5412457500351593,None,0,4,4,5,18.92984025005717,,18.921056207967922,18.92984025005717,19.911452042055316,19.911452042055316,19.928289624978788,23.456089208018966,t,3.5412457500351593,None,p1,001,2025-10-31_15h20.44.411,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 15h20.55.141832 +0530,
49,60,89,5,5,0,l,2.9144561249995604,None,0,5,5,4,23.475601708050817,,23.466604082961567,23.475601708050817,24.454208750044927,24.454208750044927,24.47085300006438,27.372612833045423,l,2.9144561249995604,None,p1,001,2025-10-31_15h20.44.411,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 15h20.55.141832 +0530,
95,115,200,6,6,0,l,2.5246394999558106,None,0,6,6,9,27.389666208066046,,27.38027179206256,27.389666208066046,28.370996917015873,28.370996917015873,28.387733957963064,30.90577787498478,l,2.5246394999558106,None,p1,001,2025-10-31_15h20.44.411,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 15h20.55.141832 +0530,
40,55,62,7,7,0,l,2.1855102089466527,None,0,7,7,3,30.92073833302129,,30.911816874984652,30.92073833302129,31.905081041972153,31.905081041972153,31.912149625015445,34.09447466698475,l,2.1855102089466527,None,p1,001,2025-10-31_15h20.44.411,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 15h20.55.141832 +0530,
78,80,162,8,8,0,t,2.8686866669449955,None,0,8,8,6,34.10843133297749,,34.09990987495985,34.10843133297749,35.088009333005175,35.088009333005175,35.10459395800717,37.96354925003834,t,2.8686866669449955,None,p1,001,2025-10-31_15h20.44.411,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 15h20.55.141832 +0530,
11,30,7,9,9,0,l,3.8610833749407902,None,0,9,9,0,37.978866292047314,,37.97014950006269,37.978866292047314,38.961897999979556,38.961897999979556,38.9712124170037,42.84109270805493,l,3.8610833749407902,None,p1,001,2025-10-31_15h20.44.411,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 15h20.55.141832 +0530,
15,35,13,10,0,1,l,2.7519214999629185,None,1,0,10,1,42.857866875012405,,42.847856707987376,42.857866875012405,43.837978917057626,43.837978917057626,43.85523145797197,46.59725704207085,l,2.7519214999629185,None,p1,001,2025-10-31_15h20.44.411,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 15h20.55.141832 +0530,
67,75,119,11,1,1,t,5.489263499970548,None,1,1,11,5,46.61281879199669,,46.604336124961264,46.61281879199669,47.595788125065155,47.595788125065155,47.604816082981415,53.08976137498394,t,5.489263499970548,None,p1,001,2025-10-31_15h20.44.411,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 15h20.55.141832 +0530,
88,98,195,12,2,1,t,1.273861915920861,None,1,2,12,8,53.106441708048806,,53.0970078749815,53.106441708048806,54.088254041969776,54.088254041969776,54.104993875022046,55.363823750056326,t,1.273861915920861,None,p1,001,2025-10-31_15h20.44.411,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 15h20.55.141832 +0530,
11,30,7,13,3,1,l,1.5202885420294479,None,1,3,13,0,55.37920645799022,,55.37060612498317,55.37920645799022,56.36267120798584,56.36267120798584,56.371662833029404,57.89011237502564,l,1.5202885420294479,None,p1,001,2025-10-31_15h20.44.411,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 15h20.55.141832 +0530,
49,60,89,14,4,1,t,3.9335989999817684,None,1,4,14,4,57.90567574999295,,57.89613095798995,57.90567574999295,58.88841983303428,58.88841983303428,58.89575316698756,62.83108733303379,t,3.9335989999817684,None,p1,001,2025-10-31_15h20.44.411,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 15h20.55.141832 +0530,
78,80,162,15,5,1,t,1.9064533329801634,None,1,5,15,6,62.845030208001845,,62.83662970806472,62.845030208001845,63.82945183303673,63.82945183303673,63.838506957981735,65.74074070795905,t,1.9064533329801634,None,p1,001,2025-10-31_15h20.44.411,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 15h20.55.141832 +0530,
85,95,180,16,6,1,t,1.5880038329632953,None,1,6,16,7,65.7575043750694,,65.74858883302659,65.7575043750694,66.75588466704357,66.75588466704357,66.77274645806756,68.34734587499406,t,1.5880038329632953,None,p1,001,2025-10-31_15h20.44.411,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 15h20.55.141832 +0530,
40,55,62,17,7,1,l,2.23501654190477,None,1,7,17,3,68.3632904579863,,68.35449454199988,68.3632904579863,69.33875641704071,69.33875641704071,69.35548050003126,71.58087604201864,l,2.23501654190477,None,p1,001,2025-10-31_15h20.44.411,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 15h20.55.141832 +0530,
95,115,200,18,8,1,l,2.392443332937546,None,1,8,18,9,71.59438987507019,,71.58609929203521,71.59438987507019,72.57950233307201,72.57950233307201,72.5888149579987,74.97362475004047,l,2.392443332937546,None,p1,001,2025-10-31_15h20.44.411,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 15h20.55.141832 +0530,
