prime_type,prime,target_full,target_fragment,SOA,correct_response,delay,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,mouse.started,prime_text.started,submit_text.started,textbox.started,polygon.stopped,fragment_text.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,trials.textbox.text,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
related ,snow,winter,w_n__r,0.1,winter,0.6,0,0,0,[np.float64(0.017777777777777778)],[np.float64(-0.41)],[1],[0],[0],[28.531218208838254],['submit_text'],"winter
",0,0,0,10,0.06097354111261666,,0.04918237496167421,0.06097354111261666,0.04918654193170369,0.5132312080822885,0.5132312080822885,0.5132312080822885,0.5582335409708321,0.5929302079603076,28.580574874999,[np.float64(0.017777777777777778)],[np.float64(-0.41)],[1],[0],[0],[28.531218208838254],['submit_text'],"winter
",p2,001,2025-11-14_13h11.59.516,untitled,,2025.1.1,120.66183026207868,2025-11-14 13h12.09.090779 +0530,
related ,camera,picture,p_c_u_e,0.4,picture,0.9,1,1,0,[np.float64(-0.011111111111111112)],[np.float64(-0.4088888888888889)],[1],[0],[0],[8.987401250051335],['submit_text'],picture,0,1,1,41,28.592540625017136,,28.586694665951654,28.592540625017136,0.005953209009021521,29.082600166089833,29.082600166089833,29.082600166089833,29.094373875064775,29.476456625154242,37.57426904095337,[np.float64(-0.011111111111111112)],[np.float64(-0.4088888888888889)],[1],[0],[0],[8.987401250051335],['submit_text'],picture,p2,001,2025-11-14_13h11.59.516,untitled,,2025.1.1,120.66183026207868,2025-11-14 13h12.09.090779 +0530,
related ,date,day,d_y,0.1,day,0.6,2,2,0,[np.float64(-0.011111111111111112)],[np.float64(-0.4255555555555556)],[1],[0],[0],[5.44865412497893],['submit_text'],day,0,2,2,56,37.60014750016853,,37.57942462502979,37.60014750016853,0.005057750036939979,38.07209112495184,38.07209112495184,38.07209112495184,38.09465945814736,38.17062729108147,43.028316791169345,[np.float64(-0.011111111111111112)],[np.float64(-0.4255555555555556)],[1],[0],[0],[5.44865412497893],['submit_text'],day,p2,001,2025-11-14_13h11.59.516,untitled,,2025.1.1,120.66183026207868,2025-11-14 13h12.09.090779 +0530,
related ,rain,monsoon,m_ns__n,0.1,monsoon,0.6,3,3,0,[np.float64(-0.02)],[np.float64(-0.40555555555555556)],[1],[0],[0],[4.896570291835815],['submit_text'],monsoon,0,3,3,18,43.03801333298907,,43.03278366615996,43.03801333298907,0.004291207995265722,43.53381420811638,43.53381420811638,43.53381420811638,43.54614858306013,43.62215212499723,47.92961087496951,[np.float64(-0.02)],[np.float64(-0.40555555555555556)],[1],[0],[0],[4.896570291835815],['submit_text'],monsoon,p2,001,2025-11-14_13h11.59.516,untitled,,2025.1.1,120.66183026207868,2025-11-14 13h12.09.090779 +0530,
related ,cake,birthday,b_r_h_a_,0.4,birthday,0.9,4,4,0,[np.float64(-0.016666666666666666)],[np.float64(-0.4088888888888889)],[1],[0],[0],[10.37378037511371],['submit_text'],birthday,0,4,4,55,47.94258895795792,,47.93615695810877,47.94258895795792,0.006399416830390692,48.43405091599561,48.43405091599561,48.43405091599561,48.44703595805913,48.85033091600053,58.31018150015734,[np.float64(-0.016666666666666666)],[np.float64(-0.4088888888888889)],[1],[0],[0],[10.37378037511371],['submit_text'],birthday,p2,001,2025-11-14_13h11.59.516,untitled,,2025.1.1,120.66183026207868,2025-11-14 13h12.09.090779 +0530,
related ,board,chalk,c___k,0.1,chalk,0.6,5,5,0,[np.float64(0.0077777777777777776)],[np.float64(-0.4122222222222222)],[1],[0],[0],[69.56374704209156],['submit_text'],chalk,0,5,5,30,58.31982308300212,,58.314028332941234,58.31982308300212,0.0037062910851091146,58.81774095795117,58.81774095795117,58.81774095795117,58.830177624942735,58.90976116596721,127.87802058295347,[np.float64(0.0077777777777777776)],[np.float64(-0.4122222222222222)],[1],[0],[0],[69.56374704209156],['submit_text'],chalk,p2,001,2025-11-14_13h11.59.516,untitled,,2025.1.1,120.66183026207868,2025-11-14 13h12.09.090779 +0530,
unrelated ,towel,grass,g_a_s,0.4,grass,0.9,6,6,0,[np.float64(-0.024444444444444446)],[np.float64(-0.4111111111111111)],[1],[0],[0],[30.548835958121344],['submit_text'],glass,0,6,6,102,127.88874245807528,,127.88283833302557,127.88874245807528,0.004647167166694999,128.3845782079734,128.3845782079734,128.3845782079734,128.39656770811416,128.78600662504323,158.43194975005463,[np.float64(-0.024444444444444446)],[np.float64(-0.4111111111111111)],[1],[0],[0],[30.548835958121344],['submit_text'],glass,p2,001,2025-11-14_13h11.59.516,untitled,,2025.1.1,120.66183026207868,2025-11-14 13h12.09.090779 +0530,
related ,athletics,sport,s_o_t,0.1,sport,0.6,7,7,0,[np.float64(-0.006666666666666667)],[np.float64(-0.41333333333333333)],[1],[0],[0],[9.791941999923438],['submit_text'],sport,0,7,7,36,158.44203387503512,,158.43683062517084,158.44203387503512,0.0046957500744611025,158.93673929106444,158.93673929106444,158.93673929106444,158.9484035409987,159.03051737509668,168.2290344161447,[np.float64(-0.006666666666666667)],[np.float64(-0.41333333333333333)],[1],[0],[0],[9.791941999923438],['submit_text'],sport,p2,001,2025-11-14_13h11.59.516,untitled,,2025.1.1,120.66183026207868,2025-11-14 13h12.09.090779 +0530,
related ,artist,paint,p__nt,0.4,paint,0.9,8,8,0,[np.float64(-0.022222222222222223)],[np.float64(-0.41333333333333333)],[1],[0],[0],[5.5454820829909295],['submit_text'],paint,0,8,8,13,168.2531555830501,,168.2324673749972,168.2531555830501,0.003298874944448471,168.7373808331322,168.7373808331322,168.7373808331322,168.7500248751603,169.13064550003037,173.7781692079734,[np.float64(-0.022222222222222223)],[np.float64(-0.41333333333333333)],[1],[0],[0],[5.5454820829909295],['submit_text'],paint,p2,001,2025-11-14_13h11.59.516,untitled,,2025.1.1,120.66183026207868,2025-11-14 13h12.09.090779 +0530,
related ,butter,bread ,b_e_d,0.4,bread,0.9,9,9,0,[np.float64(-0.02)],[np.float64(-0.4066666666666667)],[1],[0],[0],[5.2954684169963],['submit_text'],bread,0,9,9,21,173.78735400014557,,173.78194391611032,173.78735400014557,0.003645832883194089,174.27715387498029,174.27715387498029,174.27715387498029,174.2896219161339,174.67830995796248,179.07760250009596,[np.float64(-0.02)],[np.float64(-0.4066666666666667)],[1],[0],[0],[5.2954684169963],['submit_text'],bread,p2,001,2025-11-14_13h11.59.516,untitled,,2025.1.1,120.66183026207868,2025-11-14 13h12.09.090779 +0530,
