thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_dist,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.03888888888888889)],[np.float64(-0.11777777777777777)],[1],[0],[0],[1.9016814999922644],['target'],0,0,0,0,0.05989787500584498,,5,0.025604833994293585,0.05989787500584498,0.05989787500584498,0.02561804198194295,1.927406125003472,[np.float64(0.03888888888888889)],[np.float64(-0.11777777777777777)],[1],[0],[0],[1.9016814999922644],['target'],v1,001,2025-09-30_09h51.28.590,Experiment,,2025.1.1,120.9879884080244,2025-09-30 09h51.39.632766 +0530,
1,0,1,[np.float64(0.41)],[np.float64(0.34)],[0],[0],[0],[2.26997312498861],['target'],1,0,1,0,1.954497500002617,,5,1.9433894169924315,1.954497500002617,1.954497500002617,0.01572987498366274,4.213450542010833,[np.float64(0.41)],[np.float64(0.34)],[0],[0],[0],[2.26997312498861],['target'],v1,001,2025-09-30_09h51.28.590,Experiment,,2025.1.1,120.9879884080244,2025-09-30 09h51.39.632766 +0530,
2,0,2,[np.float64(-0.3522222222222222)],[np.float64(0.057777777777777775)],[1],[0],[0],[2.0054063749848865],['target'],2,0,2,0,4.2430036250152625,,5,4.231527916999767,4.2430036250152625,4.2430036250152625,0.017861208005342633,6.23701224999968,[np.float64(-0.3522222222222222)],[np.float64(0.057777777777777775)],[1],[0],[0],[2.0054063749848865],['target'],v1,001,2025-09-30_09h51.28.590,Experiment,,2025.1.1,120.9879884080244,2025-09-30 09h51.39.632766 +0530,
3,0,3,[np.float64(0.38666666666666666)],[np.float64(0.08666666666666667)],[1],[0],[0],[1.6179965419869404],['target'],3,0,3,0,6.2639319589943625,,5,6.252356042008614,6.2639319589943625,6.2639319589943625,0.015122499986318871,7.870417666999856,[np.float64(0.38666666666666666)],[np.float64(0.08666666666666667)],[1],[0],[0],[1.6179965419869404],['target'],v1,001,2025-09-30_09h51.28.590,Experiment,,2025.1.1,120.9879884080244,2025-09-30 09h51.39.632766 +0530,
4,0,4,[np.float64(-0.23666666666666666)],[np.float64(0.28444444444444444)],[1],[0],[0],[4.339091792004183],['target'],4,0,4,0,7.912008125014836,,10,7.89746579201892,7.912008125014836,7.912008125014836,0.02687424997566268,12.236631125007989,[np.float64(-0.23666666666666666)],[np.float64(0.28444444444444444)],[1],[0],[0],[4.339091792004183],['target'],v1,001,2025-09-30_09h51.28.590,Experiment,,2025.1.1,120.9879884080244,2025-09-30 09h51.39.632766 +0530,
5,0,5,[np.float64(-0.4166666666666667)],[np.float64(-0.34)],[1],[0],[0],[2.427730374998646],['target'],5,0,5,0,12.270040584000526,,10,12.258466958999634,12.270040584000526,12.270040584000526,0.021640832972479984,14.686248417012393,[np.float64(-0.4166666666666667)],[np.float64(-0.34)],[1],[0],[0],[2.427730374998646],['target'],v1,001,2025-09-30_09h51.28.590,Experiment,,2025.1.1,120.9879884080244,2025-09-30 09h51.39.632766 +0530,
6,0,6,[np.float64(0.10444444444444445)],[np.float64(-0.11)],[1],[0],[0],[2.1179976249986794],['target'],6,0,6,0,14.706185749993892,,5,14.697206167009426,14.706185749993892,14.706185749993892,0.010796041984576732,16.8152945000038,[np.float64(0.10444444444444445)],[np.float64(-0.11)],[1],[0],[0],[2.1179976249986794],['target'],v1,001,2025-09-30_09h51.28.590,Experiment,,2025.1.1,120.9879884080244,2025-09-30 09h51.39.632766 +0530,
7,0,7,[np.float64(0.46)],[np.float64(-0.46555555555555556)],[1],[0],[0],[3.2226930410251953],['target'],7,0,7,0,16.843155584007036,,5,16.83145837500342,16.843155584007036,16.843155584007036,0.015952582994941622,20.05423437501304,[np.float64(0.46)],[np.float64(-0.46555555555555556)],[1],[0],[0],[3.2226930410251953],['target'],v1,001,2025-09-30_09h51.28.590,Experiment,,2025.1.1,120.9879884080244,2025-09-30 09h51.39.632766 +0530,
8,0,8,[np.float64(-0.04111111111111111)],[np.float64(0.24222222222222223)],[1],[0],[0],[2.5972162499965634],['target'],8,0,8,0,20.096030584012624,,10,20.081613749993267,20.096030584012624,20.096030584012624,0.027145916974404827,22.678894334007055,[np.float64(-0.04111111111111111)],[np.float64(0.24222222222222223)],[1],[0],[0],[2.5972162499965634],['target'],v1,001,2025-09-30_09h51.28.590,Experiment,,2025.1.1,120.9879884080244,2025-09-30 09h51.39.632766 +0530,
9,0,9,[np.float64(0.12444444444444444)],[np.float64(0.46111111111111114)],[1],[0],[0],[2.544763999991119],['target'],9,0,9,0,22.703742167010205,,5,22.692900916998042,22.703742167010205,22.703742167010205,0.013797000021440908,25.237755542009836,[np.float64(0.12444444444444444)],[np.float64(0.46111111111111114)],[1],[0],[0],[2.544763999991119],['target'],v1,001,2025-09-30_09h51.28.590,Experiment,,2025.1.1,120.9879884080244,2025-09-30 09h51.39.632766 +0530,
