reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
40,55,62,0,0,0,t,1.824001875007525,None,0,0,0,3,0.10782862501218915,,0.08318087505176663,0.10782862501218915,1.0195601250743493,1.0195601250743493,1.1027281250571832,3.1308109590318054,t,1.824001875007525,None,p2,001,2025-10-31_16h25.11.565,Delay Discounting Experiment ,,2025.1.1,119.8939547063458,2025-10-31 16h25.20.124460 +0530,
78,80,162,1,1,0,l,0.8686641249805689,None,0,1,1,6,3.1574571250239387,,3.1341042920248583,3.1574571250239387,4.129892542026937,4.129892542026937,4.153697667061351,5.005272250040434,l,0.8686641249805689,None,p2,001,2025-10-31_16h25.11.565,Delay Discounting Experiment ,,2025.1.1,119.8939547063458,2025-10-31 16h25.20.124460 +0530,
85,95,180,2,2,0,l,0.8225413749460131,None,0,2,2,7,5.022864583996125,,5.0138061250327155,5.022864583996125,6.0040337920654565,6.0040337920654565,6.019719084026292,6.831391750019975,l,0.8225413749460131,None,p2,001,2025-10-31_16h25.11.565,Delay Discounting Experiment ,,2025.1.1,119.8939547063458,2025-10-31 16h25.20.124460 +0530,
88,98,195,3,3,0,t,1.0326766250655055,None,0,3,3,8,6.860358417034149,,6.837360959034413,6.860358417034149,7.829968042089604,7.829968042089604,7.853454417083412,8.865188291994855,t,1.0326766250655055,None,p2,001,2025-10-31_16h25.11.565,Delay Discounting Experiment ,,2025.1.1,119.8939547063458,2025-10-31 16h25.20.124460 +0530,
95,115,200,4,4,0,t,1.657418541959487,None,0,4,4,9,8.881195959053002,,8.871591834002174,8.881195959053002,9.86335150001105,9.86335150001105,9.879912417032756,11.531997125013731,t,1.657418541959487,None,p2,001,2025-10-31_16h25.11.565,Delay Discounting Experiment ,,2025.1.1,119.8939547063458,2025-10-31 16h25.20.124460 +0530,
15,35,13,5,5,0,t,1.6905433749780059,None,0,5,5,1,11.551549209048972,,11.541941167088225,11.551549209048972,12.530120374984108,12.530120374984108,12.546695750090294,14.222154792048968,t,1.6905433749780059,None,p2,001,2025-10-31_16h25.11.565,Delay Discounting Experiment ,,2025.1.1,119.8939547063458,2025-10-31 16h25.20.124460 +0530,
27,50,21,6,6,0,t,2.073353375075385,None,0,6,6,2,14.237874459009618,,14.229623459046707,14.237874459009618,15.220362417050637,15.220362417050637,15.229965959093533,17.298790167085826,t,2.073353375075385,None,p2,001,2025-10-31_16h25.11.565,Delay Discounting Experiment ,,2025.1.1,119.8939547063458,2025-10-31 16h25.20.124460 +0530,
11,30,7,7,7,0,t,7.920725458068773,None,0,7,7,0,17.3174429590581,,17.308059375034645,17.3174429590581,18.296876000007614,18.296876000007614,18.313530375016853,26.223714958992787,t,7.920725458068773,None,p2,001,2025-10-31_16h25.11.565,Delay Discounting Experiment ,,2025.1.1,119.8939547063458,2025-10-31 16h25.20.124460 +0530,
67,75,119,8,8,0,l,2.5203253329964355,None,0,8,8,5,26.240782167064026,,26.230529417051002,26.240782167064026,27.221332292072475,27.221332292072475,27.237793750013225,29.750201042043045,l,2.5203253329964355,None,p2,001,2025-10-31_16h25.11.565,Delay Discounting Experiment ,,2025.1.1,119.8939547063458,2025-10-31 16h25.20.124460 +0530,
49,60,89,9,9,0,t,2.6597469160333276,None,0,9,9,4,29.769424500060268,,29.75746416707989,29.769424500060268,30.746980583993718,30.746980583993718,30.7690489590168,33.415667209075764,t,2.6597469160333276,None,p2,001,2025-10-31_16h25.11.565,Delay Discounting Experiment ,,2025.1.1,119.8939547063458,2025-10-31 16h25.20.124460 +0530,
95,115,200,10,0,1,l,0.7303215839201584,None,1,0,10,9,33.432962459046394,,33.42335587507114,33.432962459046394,34.414400042034686,34.414400042034686,34.43021562509239,35.14841725002043,l,0.7303215839201584,None,p2,001,2025-10-31_16h25.11.565,Delay Discounting Experiment ,,2025.1.1,119.8939547063458,2025-10-31 16h25.20.124460 +0530,
15,35,13,11,1,1,t,1.015231541940011,None,1,1,11,1,35.164768459042534,,35.15531841700431,35.164768459042534,36.14859100000467,36.14859100000467,36.16507500002626,37.17305312503595,t,1.015231541940011,None,p2,001,2025-10-31_16h25.11.565,Delay Discounting Experiment ,,2025.1.1,119.8939547063458,2025-10-31 16h25.20.124460 +0530,
49,60,89,12,2,1,l,3.8480303339893,None,1,2,12,4,37.18792670906987,,37.17917054204736,37.18792670906987,38.171409209026024,38.171409209026024,38.1804659999907,42.03224750002846,l,3.8480303339893,None,p2,001,2025-10-31_16h25.11.565,Delay Discounting Experiment ,,2025.1.1,119.8939547063458,2025-10-31 16h25.20.124460 +0530,
88,98,195,13,3,1,l,2.5484640420181677,None,1,3,13,8,42.043738792068325,,42.035625334014185,42.043738792068325,43.030842792009935,43.030842792009935,43.03775216708891,45.58189037500415,l,2.5484640420181677,None,p2,001,2025-10-31_16h25.11.565,Delay Discounting Experiment ,,2025.1.1,119.8939547063458,2025-10-31 16h25.20.124460 +0530,
67,75,119,14,4,1,l,2.1054838340496644,None,1,4,14,5,45.59777741704602,,45.58830354199745,45.59777741704602,46.581780625041574,46.581780625041574,46.588707542046905,48.68996870901901,l,2.1054838340496644,None,p2,001,2025-10-31_16h25.11.565,Delay Discounting Experiment ,,2025.1.1,119.8939547063458,2025-10-31 16h25.20.124460 +0530,
