prime_type,prime,target_full,target_fragment,SOA,correct_response,delay,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,mouse.started,prime_text.started,submit_text.started,textbox.started,polygon.stopped,fragment_text.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,trials.textbox.text,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
related ,pencil,eraser,e_a_e_,0.4,eraser,0.9,0,0,0,[np.float64(-0.052222222222222225)],[np.float64(-0.4022222222222222)],[1],[0],[0],[8.507398082874715],['submit_text'],eraser,0,0,0,15,0.06330729206092656,,0.05109933391213417,0.06330729206092656,0.051102583995088935,0.5084468750283122,0.5084468750283122,0.5084468750283122,0.5776503749657422,0.9056062500458211,8.558693292085081,[np.float64(-0.052222222222222225)],[np.float64(-0.4022222222222222)],[1],[0],[0],[8.507398082874715],['submit_text'],eraser,P4,001,2025-11-14_16h47.39.541,untitled,,2025.1.1,120.99140373053115,2025-11-14 16h48.23.399584 +0530,
related ,key,lock ,l__k,0.1,lock,0.6,1,1,0,[np.float64(-0.052222222222222225)],[np.float64(-0.4022222222222222)],[0],[0],[0],[3.7334642079658806],['submit_text'],lock,0,1,1,20,8.568874709075317,,8.56319733406417,8.568874709075317,0.004371833987534046,9.060733041958883,9.060733041958883,9.060733041958883,9.072501209098846,9.171622999943793,12.296872833976522,[np.float64(-0.052222222222222225)],[np.float64(-0.4022222222222222)],[0],[0],[0],[3.7334642079658806],['submit_text'],lock,P4,001,2025-11-14_16h47.39.541,untitled,,2025.1.1,120.99140373053115,2025-11-14 16h48.23.399584 +0530,
unrelated ,curtain,wizard,w__a_d,0.4,wizard,0.9,2,2,0,[np.float64(-0.13111111111111112)],[np.float64(-0.40444444444444444)],[1],[0],[0],[157.66876220796257],['submit_text'],workload,0,2,2,96,12.310327334096655,,12.304589791921899,12.310327334096655,0.0075645409524440765,12.800934792030603,12.800934792030603,12.800934792030603,12.813342459034175,13.210466125048697,169.97359412512742,[np.float64(-0.13111111111111112)],[np.float64(-0.40444444444444444)],[1],[0],[0],[157.66876220796257],['submit_text'],workload,P4,001,2025-11-14_16h47.39.541,untitled,,2025.1.1,120.99140373053115,2025-11-14 16h48.23.399584 +0530,
unrelated ,carpet,lightning,l_g_t_n_,0.4,lightning,0.9,3,3,0,[np.float64(-0.13111111111111112)],[np.float64(-0.40444444444444444)],[1],[0],[0],[28.262366583105177],['submit_text'],lightens,0,3,3,104,169.98470637504943,,169.97961795912124,169.98470637504943,0.005758000072091818,170.47870795894414,170.47870795894414,170.47870795894414,170.49079304211773,170.86629729205742,198.24229066702537,[np.float64(-0.13111111111111112)],[np.float64(-0.40444444444444444)],[1],[0],[0],[28.262366583105177],['submit_text'],lightens,P4,001,2025-11-14_16h47.39.541,untitled,,2025.1.1,120.99140373053115,2025-11-14 16h48.23.399584 +0530,
unrelated ,toothpaste,mug,m_g,0.1,mug,0.6,4,4,0,[np.float64(-0.13111111111111112)],[np.float64(-0.40444444444444444)],[1],[0],[0],[4.193735041888431],['submit_text'],mug,0,4,4,83,198.25209970911965,,198.24611970898695,198.25209970911965,0.0036957080010324717,198.74804695905186,198.74804695905186,198.74804695905186,198.76030591712333,198.8372515840456,202.4400603340473,[np.float64(-0.13111111111111112)],[np.float64(-0.40444444444444444)],[1],[0],[0],[4.193735041888431],['submit_text'],mug,P4,001,2025-11-14_16h47.39.541,untitled,,2025.1.1,120.99140373053115,2025-11-14 16h48.23.399584 +0530,
related ,snow,winter,w_n__r,0.1,winter,0.6,5,5,0,[np.float64(-0.13111111111111112)],[np.float64(-0.40444444444444444)],[1],[0],[0],[3.750357541954145],['submit_text'],winter,0,5,5,10,202.4489007089287,,202.4433784589637,202.4489007089287,0.0031978751067072153,202.94713150011376,202.94713150011376,202.94713150011376,202.94713150011376,203.03481254191138,206.19402145897038,[np.float64(-0.13111111111111112)],[np.float64(-0.40444444444444444)],[1],[0],[0],[3.750357541954145],['submit_text'],winter,P4,001,2025-11-14_16h47.39.541,untitled,,2025.1.1,120.99140373053115,2025-11-14 16h48.23.399584 +0530,
unrelated ,months,high,h_g_,0.4,high,0.9,6,6,0,[np.float64(-0.13111111111111112)],[np.float64(-0.4033333333333333)],[1],[0],[0],[6.459008042002097],['submit_text'],hugs,0,6,6,106,206.2036200419534,,206.198339875089,206.2036200419534,0.004200541181489825,206.6963202089537,206.6963202089537,206.6963202089537,206.70805291691795,207.11562658404,212.6576280419249,[np.float64(-0.13111111111111112)],[np.float64(-0.4033333333333333)],[1],[0],[0],[6.459008042002097],['submit_text'],hugs,P4,001,2025-11-14_16h47.39.541,untitled,,2025.1.1,120.99140373053115,2025-11-14 16h48.23.399584 +0530,
related ,king,queen,q___n,0.1,queen,0.6,7,7,0,[np.float64(-0.13111111111111112)],[np.float64(-0.4033333333333333)],[1],[0],[0],[3.025217000162229],['submit_text'],queen,0,7,7,38,212.66833979194053,,212.66232254193164,212.66833979194053,0.004574292106553912,213.18258616700768,213.18258616700768,213.18258616700768,213.1957903339062,213.25252012512647,215.68783958395943,[np.float64(-0.13111111111111112)],[np.float64(-0.4033333333333333)],[1],[0],[0],[3.025217000162229],['submit_text'],queen,P4,001,2025-11-14_16h47.39.541,untitled,,2025.1.1,120.99140373053115,2025-11-14 16h48.23.399584 +0530,
unrelated ,window,binary,bi_a_y,0.4,binary,0.9,8,8,0,[np.float64(-0.12555555555555556)],[np.float64(-0.40444444444444444)],[1],[0],[0],[32.62999383290298],['submit_text'],binary,0,8,8,94,215.71604458405636,,215.69435679190792,215.71604458405636,0.006376290926709771,216.18813133402728,216.18813133402728,216.18813133402728,216.21516020898707,216.59927108394913,248.3246670421213,[np.float64(-0.12555555555555556)],[np.float64(-0.40444444444444444)],[1],[0],[0],[32.62999383290298],['submit_text'],binary,P4,001,2025-11-14_16h47.39.541,untitled,,2025.1.1,120.99140373053115,2025-11-14 16h48.23.399584 +0530,
related ,shopping,shop,s__p,0.1,shop,0.6,9,9,0,[np.float64(-0.12555555555555556)],[np.float64(-0.40444444444444444)],[1],[0],[0],[4.690631124889478],['submit_text'],soap,0,9,9,32,248.33358737500384,,248.3280311669223,248.33358737500384,0.00325204199180007,248.83272704202682,248.83272704202682,248.83272704202682,248.83272704202682,248.92153720906936,253.0189635839779,[np.float64(-0.12555555555555556)],[np.float64(-0.40444444444444444)],[1],[0],[0],[4.690631124889478],['submit_text'],soap,P4,001,2025-11-14_16h47.39.541,untitled,,2025.1.1,120.99140373053115,2025-11-14 16h48.23.399584 +0530,
